hte_decile,n,avg_tau_hat,avg_benefit_score,avg_tau_se,observed_ed_rate,treatment_pct,avg_propensity_score,avg_current_risk_score,uplift_decile
1,30,-0.1007800195877892,0.1007800195877892,0.05430562996497868,0.16666666666666666,0.3333333333333333,0.47862286581847513,55.53,1
2,30,-0.07748091657153668,0.07748091657153668,0.04471265172583451,0.1,0.26666666666666666,0.43132064083096994,47.22,2
3,30,-0.06640929169178846,0.06640929169178846,0.04361322889614815,0.0,0.4666666666666667,0.37998134365595465,44.406666666666666,3
4,30,-0.053787677171056834,0.053787677171056834,0.03900578518855646,0.06666666666666667,0.4666666666666667,0.3955811106611149,45.34666666666667,4
5,30,-0.042142751553506684,0.042142751553506684,0.029676188430094334,0.06666666666666667,0.4,0.40383108809605495,41.776666666666664,5
6,30,-0.0336541767506128,0.0336541767506128,0.03227353089268166,0.06666666666666667,0.4666666666666667,0.3749269260930336,42.06666666666667,6
7,30,-0.02660467623038297,0.02660467623038297,0.029648838823612165,0.0,0.36666666666666664,0.395451026431177,40.46,7
8,30,-0.01909511311408438,0.01909511311408438,0.03070273646382897,0.06666666666666667,0.36666666666666664,0.38286794516312206,40.78666666666666,8
9,30,-0.011430717421970148,0.011430717421970148,0.02815054533102924,0.06666666666666667,0.4,0.39549729900207725,39.75,9
10,30,-0.0017544606472204816,0.0017544606472204816,0.030223524625230824,0.0,0.4,0.3873400798430241,40.669999999999995,10
