feature,mean_abs_benefit_shap,mean_signed_benefit_shap,mean_positive_benefit_shap,mean_negative_benefit_shap,pct_positive_benefit_shap,pct_negative_benefit_shap
percolator_clinical_score,0.008134068785646782,0.00038209767631866174,0.004258083230982723,-0.00387598555466406,0.21666666666666667,0.7833333333333333
current_risk_score,0.006503458113126312,0.0008521377038964528,0.003677797908511383,-0.00282566020461493,0.24666666666666667,0.7533333333333333
age,0.004997868872726501,0.00019226154516091863,0.00259506520894371,-0.0024028036637827915,0.3566666666666667,0.6433333333333333
percolator_sdoh_score,0.0038942701209277136,-0.00027482006924756065,0.0018097250258400765,-0.0020845450950876376,0.28,0.72
pcp_visits_last_6m,0.002394830997174189,-0.0002844871432908401,0.0010551719269416744,-0.0013396590702325147,0.44,0.56
med_adherence_pdc,0.002280577796450252,-0.00015651827560313216,0.0010620297604235598,-0.001218548036026692,0.3,0.7
service_region_Central,0.00127795209973429,2.5907869272762744e-05,0.0006519299845035263,-0.0006260221152307636,0.7833333333333333,0.21666666666666667
total_cost_last_6m,0.0012192106677896793,0.0004701829490448648,0.000844696808417272,-0.00037451385937240726,0.4633333333333333,0.5366666666666666
rx_count_last_6m,0.001173203309902301,0.00025103232755577725,0.0007121178187290391,-0.00046108549117326186,0.5,0.5
county_County_E,0.0010985209052958168,-8.750289130162191e-05,0.0005055090069970974,-0.0005930118982987192,0.8066666666666666,0.19333333333333333
percolator_utilization_score,0.0010583188698396512,-5.836734810663565e-05,0.0004999757608665078,-0.0005583431089731433,0.4266666666666667,0.5733333333333334
specialist_visits_last_6m,0.0008653388386327032,0.0002585168174781003,0.0005619278280554017,-0.00030341101057730136,0.8266666666666667,0.17333333333333334
ed_visits_last_6m,0.0008095374786920806,0.0001380677078292244,0.00047380259326065247,-0.0003357348854314281,0.55,0.45
client_contract_Contract_B,0.0004163895024166691,7.386290688029851e-05,0.0002451262046484838,-0.0001712632977681853,0.6466666666666666,0.35333333333333333
anxiety_flag,0.0003886034170681854,2.0467558164320518e-05,0.00020453548761625292,-0.0001840679294519324,0.7566666666666667,0.24333333333333335
service_region_East,0.0003340654527604864,-2.9967483211218905e-05,0.00015204898477463372,-0.00018201646798585264,0.22666666666666666,0.7733333333333333
plan_type_Medicare,0.000324216304324155,-3.167950178691043e-05,0.00014626840126862227,-0.00017794790305553272,0.7733333333333333,0.22666666666666666
program_CM,0.00032329630383795977,-2.833276367205366e-05,0.00014748177008295306,-0.0001758145337550067,0.42333333333333334,0.5766666666666667
program_Complex_CM,0.0002938406385228682,6.004899689782593e-05,0.00017694481771034706,-0.00011689582081252113,0.21333333333333335,0.7866666666666666
county_County_A,0.0002904421648142766,-3.197763269601971e-05,0.00012923226605912844,-0.00016120989875514815,0.24333333333333335,0.7566666666666667
behavioral_health_risk_flag,0.0002866608513045929,1.8633982884218492e-05,0.0001526474170944057,-0.0001340134342101872,0.58,0.42
food_insecurity_flag,0.00028310061534330544,4.73745437771844e-05,0.00016523757956024495,-0.00011786303578306054,0.6766666666666666,0.3233333333333333
plan_type_Dual,0.000270089899635799,-3.8191804751645484e-05,0.00011594904744207675,-0.00015414085219372223,0.2,0.8
copd_flag,0.0002691112854400505,6.8165537455510164e-06,0.00013796391959280076,-0.00013114736584724974,0.20333333333333334,0.7966666666666666
chf_flag,0.0002560002488710872,-3.677363735332486e-05,0.00010961330575888115,-0.000146386943112206,0.6166666666666667,0.38333333333333336
living_alone_flag,0.0002536650094605892,-6.402476781350742e-07,0.00012651238089122704,-0.00012715262856936212,0.7033333333333334,0.2966666666666667
plan_type_Medicaid,0.00023825872705901798,1.4150610371336537e-05,0.00012620466871517724,-0.00011205405834384073,0.5333333333333333,0.4666666666666667
admits_last_6m,0.00023274182003151428,4.410037594235325e-05,0.00013842109798693376,-9.432072204458052e-05,0.38333333333333336,0.6166666666666667
diabetes_flag,0.00022536287487226128,1.5653122196907328e-05,0.0001205079985345843,-0.00010485487633767697,0.36,0.64
ckd_flag,0.00022189404777593107,-2.208549754170238e-05,9.990427511711434e-05,-0.0001219897726588167,0.12666666666666668,0.8733333333333333
county_County_B,0.0002189922110134094,-5.6151808905223916e-05,8.142020105409276e-05,-0.0001375720099593167,0.16,0.84
gender_Male,0.00021764190997299078,2.06044262663381e-05,0.00011912316811966445,-9.851874185332636e-05,0.45666666666666667,0.5433333333333333
