feature,category,included_in_model,reason_if_excluded,source_dtype,unique_values
client_contract,demographics,True,,object,3
service_region,demographics,True,,object,5
program,demographics,True,,object,3
case_manager_name,demographics,True,,object,15
age,demographics,True,,int64,72
gender,demographics,True,,object,2
dual_eligible,demographics,True,,int64,2
county,demographics,True,,object,6
plan_type,demographics,True,,object,4
language,demographics,True,,object,3
living_alone_flag,demographics,True,,int64,2
diabetes_flag,clinical_conditions,True,,int64,2
chf_flag,clinical_conditions,True,,int64,2
copd_flag,clinical_conditions,True,,int64,2
asthma_flag,clinical_conditions,True,,int64,2
depression_flag,clinical_conditions,True,,int64,2
anxiety_flag,clinical_conditions,True,,int64,2
substance_use_flag,clinical_conditions,True,,int64,2
ckd_flag,clinical_conditions,True,,int64,2
behavioral_health_risk_flag,clinical_conditions,True,,int64,2
food_insecurity_flag,sdoh,True,,int64,2
housing_instability_flag,sdoh,True,,int64,2
transportation_barrier_flag,sdoh,True,,int64,2
utilities_insecurity_flag,sdoh,True,,int64,2
pcp_visits_last_6m,utilization,True,,int64,10
specialist_visits_last_6m,utilization,True,,int64,8
ed_visits_last_30d,utilization,True,,int64,3
ed_visits_last_6m,utilization,True,,int64,6
admits_last_6m,utilization,True,,int64,5
observation_stays_last_6m,utilization,True,,int64,5
total_cost_last_6m,pharmacy,True,,float64,1000
rx_count_last_6m,pharmacy,True,,int64,21
med_adherence_pdc,pharmacy,True,,float64,440
high_cost_drug_flag,pharmacy,True,,int64,2
opioid_flag,pharmacy,True,,int64,2
polypharmacy_flag,pharmacy,True,,int64,2
percolator_utilization_score,risk_scores,True,,float64,418
percolator_clinical_score,risk_scores,True,,float64,442
percolator_sdoh_score,risk_scores,True,,float64,445
current_risk_score,risk_scores,True,,float64,352
risk_tier,risk_scores,True,,object,4
