risk_tier,benefit_group,members,risk_tier_members,pct_within_risk_tier,benefit_group_definition
Low,High benefit,3,51,0.058823529411764705,hte_decile 1-2 (top 20%)
Low,Medium benefit,30,51,0.5882352941176471,hte_decile 3-7 (middle 50%)
Low,Low benefit,18,51,0.35294117647058826,hte_decile 8-10 (bottom 30%)
Medium,High benefit,22,207,0.10628019323671498,hte_decile 1-2 (top 20%)
Medium,Medium benefit,113,207,0.5458937198067633,hte_decile 3-7 (middle 50%)
Medium,Low benefit,72,207,0.34782608695652173,hte_decile 8-10 (bottom 30%)
High,High benefit,35,42,0.8333333333333334,hte_decile 1-2 (top 20%)
High,Medium benefit,7,42,0.16666666666666666,hte_decile 3-7 (middle 50%)
High,Low benefit,0,42,0.0,hte_decile 8-10 (bottom 30%)
Very High,High benefit,0,0,,hte_decile 1-2 (top 20%)
Very High,Medium benefit,0,0,,hte_decile 3-7 (middle 50%)
Very High,Low benefit,0,0,,hte_decile 8-10 (bottom 30%)
