rank,feature,importance
1,current_risk_score,0.182484269726286
2,percolator_clinical_score,0.13842382226456193
3,age,0.08080010940018204
4,pcp_visits_last_6m,0.07748474276265871
5,total_cost_last_6m,0.06831330066446277
6,med_adherence_pdc,0.06563465125001348
7,percolator_utilization_score,0.0584464203854035
8,percolator_sdoh_score,0.04751227501899075
9,specialist_visits_last_6m,0.021884484892125657
10,rx_count_last_6m,0.021747122626767697
11,language_Other,0.01737819258601774
12,chf_flag,0.01509592909262971
13,case_manager_name_CM_09,0.009779141618493095
14,program_CM,0.00969586649723802
15,ed_visits_last_6m,0.009217362190887647
16,plan_type_Commercial,0.009154243694114805
17,admits_last_6m,0.009008370985085572
18,behavioral_health_risk_flag,0.007364529353829712
19,case_manager_name_CM_04,0.007356544174789863
20,risk_tier_High,0.007317987377386581
21,case_manager_name_CM_13,0.007084367730546743
22,client_contract_Contract_B,0.006825700172756976
23,observation_stays_last_6m,0.006268455223209063
24,ed_visits_last_30d,0.0055857426095417325
25,plan_type_Medicaid,0.0053767199893211826
26,case_manager_name_CM_11,0.005366473949345927
27,diabetes_flag,0.005348039194646834
28,copd_flag,0.004955306275324905
29,county_County_E,0.004894355976429953
30,service_region_Central,0.004798331722429914
31,language_English,0.0043050068283399115
32,case_manager_name_CM_10,0.004097826405005395
33,plan_type_Medicare,0.0038226497292588677
34,county_County_B,0.003289867772578915
35,case_manager_name_CM_02,0.00328015587361828
36,depression_flag,0.0032499083529534934
37,county_County_A,0.0032263829649021186
38,language_Spanish,0.0031889405341042603
39,service_region_North,0.0030775712205596464
40,ckd_flag,0.0030489922857037466
41,risk_tier_Medium,0.0028931854192892547
42,food_insecurity_flag,0.0028238272507605743
43,client_contract_Contract_A,0.002780302102224146
44,county_County_F,0.002765657318752214
45,gender_Male,0.0026986318014865403
46,asthma_flag,0.0024928156433936836
47,case_manager_name_CM_14,0.0024245153518372324
48,service_region_East,0.002400581764211286
49,polypharmacy_flag,0.0022783014928559812
50,plan_type_Dual,0.0020381350300673513
51,case_manager_name_CM_01,0.001945632295427323
52,anxiety_flag,0.001941640220126608
53,case_manager_name_CM_07,0.0019269971481225964
54,program_BH_CM,0.0018324487468037575
55,client_contract_Contract_C,0.0017879467027059187
56,gender_Female,0.001739075065602009
57,dual_eligible,0.001686680524232594
58,living_alone_flag,0.0009249671303857505
59,county_County_D,0.0007445094080803552
60,program_Complex_CM,0.0006872573733411827
61,case_manager_name_CM_15,0.0005427611424608719
62,high_cost_drug_flag,0.0005112746438438897
63,case_manager_name_CM_03,0.00047954404336308194
64,transportation_barrier_flag,0.00041878786917102904
65,county_County_C,0.0003860031882457169
66,opioid_flag,0.00037339569713070787
67,case_manager_name_CM_12,0.00036871570379784296
68,service_region_South,0.0002637829795411809
69,case_manager_name_CM_06,0.0001851731813486891
70,case_manager_name_CM_08,0.00015029822079062706
71,service_region_West,0.0001427640776335697
72,utilities_insecurity_flag,9.724221022357519e-05
73,substance_use_flag,2.7449829153332952e-05
74,housing_instability_flag,2.7232274610137008e-05
75,risk_tier_Low,2.2305776476288995e-05
76,case_manager_name_CM_05,0.0
77,risk_tier_Very_High,0.0
