uplift_decile,n,avg_tau_hat,avg_benefit_score,observed_ed_rate,treated_pct,avg_tau_se
1,30,-0.0908253033421062,0.0908253033421062,0.13333333333333333,0.4,0.04863083046571146
2,30,-0.08026063359354682,0.08026063359354682,0.03333333333333333,0.36666666666666664,0.04414384687421223
3,30,-0.07162286921069386,0.07162286921069386,0.13333333333333333,0.36666666666666664,0.04221246655229171
4,30,-0.06216993082206281,0.06216993082206281,0.03333333333333333,0.4666666666666667,0.03975914613327566
5,30,-0.051401874464161286,0.051401874464161286,0.0,0.43333333333333335,0.03762156449283693
6,30,-0.04316618668711367,0.04316618668711367,0.06666666666666667,0.5,0.04574544572314665
7,30,-0.037005970489492716,0.037005970489492716,0.1,0.36666666666666664,0.024629606185933437
8,30,-0.03103715988522918,0.03103715988522918,0.0,0.26666666666666666,0.021286718538313886
9,30,-0.025590507379001964,0.025590507379001964,0.03333333333333333,0.5333333333333333,0.022527897516310725
10,30,-0.010263244439146559,0.010263244439146559,0.1,0.36666666666666664,0.03315237687768949
