feature,importance
current_risk_score,0.24289947283309962
percolator_utilization_score,0.1726497289924186
percolator_clinical_score,0.14274202971266683
age,0.133995169014829
total_cost_last_6m,0.122505093876741
ed_visits_last_6m,0.04123730706282383
copd_flag,0.02150156466395552
admits_last_6m,0.017929029983237938
chf_flag,0.015505713236936674
diabetes_flag,0.012835723616132139
ed_visits_last_30d,0.011816490766933458
ckd_flag,0.010557700822451435
depression_flag,0.009321498677742113
gender_Male,0.008712047262567774
gender_Female,0.00793637600533075
food_insecurity_flag,0.0074769185570414355
anxiety_flag,0.006457409048369202
transportation_barrier_flag,0.005337383509850791
dual_eligible,0.005051723599852534
substance_use_flag,0.0017924579385037809
housing_instability_flag,0.0011696314929899245
asthma_flag,0.0005695293255256852
