targeting_approach,through_decile,population_fraction_targeted,n,cumulative_estimated_ed_visits_avoided,cumulative_gross_savings
Causal forest benefit score,1,0.09958071278825996,190,11.198065820317222,13437.678984380665
Causal forest benefit score,2,0.19916142557651992,380,18.8024441724535,22562.9330069442
Causal forest benefit score,3,0.29874213836477986,570,24.658226259672,29589.871511606398
Causal forest benefit score,4,0.39832285115303984,760,29.01049602798269,34812.595233579224
Causal forest benefit score,5,0.4979035639412998,950,32.04685375273432,38456.224503281184
Causal forest benefit score,6,0.5974842767295597,1140,33.90095021693919,40681.140260327025
Causal forest benefit score,7,0.6970649895178197,1330,34.6063352446895,41527.602293627395
Causal forest benefit score,8,0.7966457023060797,1520,34.00042064904048,40800.504778848575
Causal forest benefit score,9,0.8962264150943396,1710,31.825157142691367,38190.18857122964
Causal forest benefit score,10,1.0,1908,26.245295680929978,31494.354817115975
Current risk score,1,0.09958071278825996,190,4.1239282757995515,4948.713930959461
Current risk score,2,0.19916142557651992,380,6.18947605262095,7427.37126314514
Current risk score,3,0.29874213836477986,570,9.456542511833893,11347.851014200673
Current risk score,4,0.39832285115303984,760,12.267104562001618,14720.525474401942
Current risk score,5,0.4979035639412998,950,15.023249121392727,18027.898945671273
Current risk score,6,0.5974842767295597,1140,18.84515660135847,22614.187921630168
Current risk score,7,0.6970649895178197,1330,20.72016926351217,24864.2031162146
Current risk score,8,0.7966457023060797,1520,22.108076794864928,26529.692153837914
Current risk score,9,0.8962264150943396,1710,24.193066263500576,29031.679516200693
Current risk score,10,1.0,1908,26.245295680929978,31494.354817115975
