hte_decile,n,avg_tau_hat,avg_benefit_score,avg_tau_se,observed_ed_rate,treatment_pct,avg_propensity_score,avg_current_risk_score,uplift_decile
1,191,-0.05887073228993549,0.05887073228993549,0.03825517382919039,0.2513089005235602,0.47643979057591623,0.46873151047801354,7.879150628445026,1
2,191,-0.03994658636723563,0.03994658636723563,0.03709684534946723,0.24083769633507854,0.49214659685863876,0.4601126413325585,6.349912316683246,2
3,191,-0.030698911789346826,0.030698911789346826,0.03575556616900503,0.21465968586387435,0.5392670157068062,0.4909997720633185,6.3082372812329846,3
4,191,-0.02277309610718267,0.02277309610718267,0.035131734946069165,0.24607329842931938,0.45549738219895286,0.4844424586711098,6.642850486146597,4
5,190,-0.015846143378648044,0.015846143378648044,0.03711691730105789,0.21578947368421053,0.49473684210526314,0.463841420173956,6.131150675255263,5
6,191,-0.009615100569188701,0.009615100569188701,0.036064631425572015,0.23036649214659685,0.518324607329843,0.47347147322978944,5.958212514026179,6
7,191,-0.003524651947927658,0.003524651947927658,0.03616082466680712,0.21465968586387435,0.3769633507853403,0.46792404587482217,5.9977752343298425,7
8,191,0.0034440074118253306,-0.0034440074118253306,0.037269095917770265,0.18848167539267016,0.46596858638743455,0.5027597247934102,5.345698984879581,8
9,191,0.011818931182145585,-0.011818931182145585,0.036054320664820366,0.21465968586387435,0.4083769633507853,0.46191396593131984,5.7952243740287965,9
10,190,0.028669496800477617,-0.028669496800477617,0.038301072977930464,0.3263157894736842,0.5368421052631579,0.4605512267090805,6.470342635789473,10
