feature,mean_abs_benefit_shap,mean_signed_benefit_shap,mean_positive_benefit_shap,mean_negative_benefit_shap,pct_positive_benefit_shap,pct_negative_benefit_shap,explained_test_rows,background_rows
percolator_score,0.008138863190438139,-0.0011206626866553976,0.0035091002518913704,-0.004629762938546768,0.49,0.51,100,50
total_cost_last_6m,0.0065528959180520254,0.0003577521396387301,0.003455324028845378,-0.0030975718892066475,0.5,0.5,100,50
ed_visits_last_6m,0.005364464934334896,-0.00012101301278396523,0.002621725960775465,-0.0027427389735594303,0.58,0.42,100,50
rx_count_last_6m,0.005066163407255747,-0.00025941454047739474,0.0024033744333891763,-0.0026627889738665713,0.61,0.39,100,50
current_risk_score,0.004557321464128938,0.0013828516500506973,0.0029700865570898177,-0.001587234907039121,0.42,0.58,100,50
housing_instability_flag,0.0038444182626610895,0.0014988087121720842,0.002671613487416587,-0.0011728047752445027,0.31,0.69,100,50
chf_flag,0.0037819934491590077,-0.00016155176507180957,0.001810220842043599,-0.001971772607115409,0.31,0.69,100,50
age,0.0036064991379851866,-0.00048006765159445795,0.0015632157431953648,-0.0020432833947898223,0.37,0.63,100,50
cad_flag,0.00340996876840541,-0.0002428836829231769,0.0015835425427411164,-0.0018264262256642936,0.52,0.48,100,50
admits_last_6m,0.002697362429412672,0.0003940754698681035,0.0015457189496403876,-0.0011516434797722843,0.66,0.34,100,50
op_visits_last_6m,0.0022560425859426037,0.00031194495288022257,0.0012839937694114128,-0.0009720488165311908,0.64,0.36,100,50
ed_visits_last_30d,0.0019370990417397881,0.0005185664017226502,0.001227832721731219,-0.000709266320008569,0.29,0.71,100,50
diabetes_flag,0.0017093046092833606,0.0002233519395455917,0.0009663282744144761,-0.0007429763348688845,0.48,0.52,100,50
opioid_flag,0.001323518866882505,-0.00020327659009595117,0.0005601211383932769,-0.0007633977284892281,0.58,0.42,100,50
ckd_flag,0.0013029651670472084,-0.00015477972048628724,0.0005740927232804606,-0.000728872443766748,0.65,0.35,100,50
anxiety_flag,0.0011141452080037737,1.3346642105515392e-05,0.0005637459250546446,-0.0005503992829491292,0.68,0.32,100,50
state_WV,0.0010119611550040914,-9.519960684291451e-06,0.0005012205971598999,-0.0005107405578441914,0.61,0.39,100,50
risk_tier_3,0.0009269042198756756,-1.1610550315758399e-05,0.0004576468347799587,-0.00046925738509571714,0.32,0.68,100,50
copd_flag,0.0008495996212800508,-6.89971981160624e-05,0.0003903012115819942,-0.0004592984096980566,0.63,0.37,100,50
transportation_barrier_flag,0.0008089760372289972,7.1776229185653115e-06,0.00040807683007378125,-0.000400899207155216,0.26,0.74,100,50
food_insecurity_flag,0.0007887471822856719,-0.00016448980568750052,0.00031212868829908565,-0.0004766184939865861,0.27,0.73,100,50
bh_flag,0.0006718260905946001,1.3608324844268153e-05,0.0003427172077194341,-0.0003291088828751659,0.69,0.31,100,50
hyperlipidemia_flag,0.0006194443683549758,0.00010923186910422217,0.00036433811872959893,-0.00025510624962537685,0.71,0.29,100,50
gender_F,0.0005422799590863657,1.873204639873377e-05,0.0002805060027425497,-0.0002617739563438159,0.49,0.51,100,50
gender_M,0.0005247214495873586,0.0001102787094106027,0.00031750007949898066,-0.00020722137008837797,0.62,0.38,100,50
polypharmacy_flag,0.0004460835405906423,-7.290795759526324e-06,0.000219396372415558,-0.0002266871681750843,0.46,0.54,100,50
financial_strain_flag,0.00043419527514458855,9.303188470881516e-06,0.00022174923180773504,-0.00021244604333685353,0.41,0.59,100,50
healthliteracy_challenges_flag,0.0004306784949694936,3.0533038662629553e-06,0.0002168658994178783,-0.00021381259555161534,0.47,0.53,100,50
observation_stays_last_6m,0.0004125213507035276,0.0002270350508918891,0.0003197782007977083,-9.274314990581926e-05,0.19,0.81,100,50
client_contract_The_Funds_93_PRE,0.0003758507644818706,1.4335710919619137e-06,0.00018864216778691624,-0.0001872085966949543,0.6,0.4,100,50
client_contract_The_Funds_92,0.00036993841088772905,-4.5116884938137986e-05,0.00016241076297479555,-0.00020752764791293353,0.48,0.52,100,50
depression_flag,0.00036915551254330123,-4.302596870815838e-07,0.0001843626264281098,-0.0001847928861151914,0.86,0.14,100,50
state_OH,0.00034996275952219594,-0.00021120685858198927,6.937795047010338e-05,-0.00028058480905209264,0.03,0.97,100,50
state_KY,0.0003098431241534273,0.00011193105527706596,0.00021088708971524656,-9.895603443818065e-05,0.42,0.58,100,50
state_IL,0.0003041689095741787,1.8622930153360563e-05,0.00016139591986376962,-0.00014277298971040905,0.21,0.79,100,50
risk_tier_2,0.00028499471811679346,2.670523988110869e-05,0.00015584997899895108,-0.0001291447391178424,0.51,0.49,100,50
htn_flag,0.00023466588375664567,0.00013416585151138465,0.00018441586763401515,-5.025001612263052e-05,0.93,0.07,100,50
death_within_90d_flag,0.00021268742897537256,-0.00012522558856468898,4.3730920205341806e-05,-0.00016895650877003077,0.23,0.77,100,50
state_PA,0.0002011763163632726,-3.582930609584256e-05,8.267350513371501e-05,-0.00011850281122955761,0.24,0.76,100,50
state_IN,0.00018344378518119267,0.0001681254438672735,0.00017578461452423308,-7.659170656959568e-06,0.46,0.54,100,50
risk_tier_4,0.00018275902780369734,-2.908943992087073e-05,7.683479394141332e-05,-0.00010592423386228405,0.68,0.32,100,50
asthma_flag,0.00016260076788537914,0.00011077765092478694,0.00013668920940508304,-2.5911558480296087e-05,0.85,0.15,100,50
client_contract_The_Funds_CM,0.00012866675866664176,0.00010908316091096413,0.00011887495978880295,-9.791798877838808e-06,0.89,0.11,100,50
risk_tier_1,0.00010026855452344899,-1.4786552911699043e-05,4.2741000805874955e-05,-5.752755371757401e-05,0.63,0.37,100,50
state_VA,6.0108785463534994e-05,-1.5042710358013208e-05,2.2533037552760895e-05,-3.75757479107741e-05,0.69,0.31,100,50
county_RALEIGH,4.0465769724466816e-05,2.952388616908711e-05,3.4994827946776965e-05,-5.470941777689856e-06,0.05,0.02,100,50
state_AL,3.945407351995392e-05,-2.3485330802918983e-06,1.855277021983101e-05,-2.090130330012291e-05,0.29,0.71,100,50
state_UT,3.709095438149653e-05,-6.7639609481233095e-06,1.5163496716686612e-05,-2.192745766480992e-05,0.96,0.04,100,50
county_FRANKLIN,1.9488805137353432e-05,-1.1317244901346783e-05,4.085780118003325e-06,-1.540302501935011e-05,0.01,0.99,100,50
substance_use_flag,1.6850167634031506e-05,-1.6850167634031506e-05,0.0,-1.6850167634031506e-05,0.0,0.03,100,50
county_FAYETTE,1.4746100127457057e-05,-8.243703654028874e-06,3.2511982367140897e-06,-1.1494901890742963e-05,0.1,0.9,100,50
county_WILLIAMSON,1.1905498145823369e-05,-2.2370625104233033e-06,4.834217817700033e-06,-7.071280328123336e-06,0.02,0.98,100,50
county_PIKE,7.4259407328014036e-06,-2.6434458001345276e-06,2.391247466333438e-06,-5.034693266467966e-06,0.37,0.63,100,50
client_contract_The_Funds_PR,7.222758293597364e-06,5.176969448886669e-06,6.199863871242015e-06,-1.022894422355348e-06,0.91,0.05,100,50
county_BOONE,5.108272102583524e-06,-3.7475940977400967e-06,6.803390024217137e-07,-4.42793310016181e-06,0.05,0.95,100,50
county_JEFFERSON,3.712237260265915e-06,-2.2429896253481194e-06,7.346238174588978e-07,-2.9776134428070173e-06,0.27,0.02,100,50
county_WISE,3.442184902996527e-06,2.1734063040090093e-06,2.807795603502768e-06,-6.343892994937587e-07,0.51,0.49,100,50
state_FL,2.936320717259519e-06,1.4451568078880912e-06,2.190738762573805e-06,-7.455819546857138e-07,0.87,0.11,100,50
risk_tier_5,1.914618416319804e-06,1.914618416319804e-06,1.914618416319804e-06,0.0,0.01,0.0,100,50
county_LOGAN,1.6075183768564111e-06,1.6075183768564111e-06,1.6075183768564111e-06,0.0,0.02,0.0,100,50
county_BLAIR,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BLAND,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BLOUNT,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BOWMAN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BOYD,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BRADLEY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BRAXTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BREVARD,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BRISTOL_CITY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BROOKE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BRUNSWICK,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BUCHANAN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BURKE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_BUTLER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CABELL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CALDWELL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CALHOUN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CAMBRIA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CAMDEN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CAMPBELL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CARBON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CASS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CATAWBA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CENTRE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CHAMPAIGN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CHESTERFIELD,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CHILTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CHRISTIAN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CITRUS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CLAIBORNE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CLARENDON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CLARION,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CLARK,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CLAY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CLEARFIELD,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CLERMONT,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CLINTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_COCONINO,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_COLFAX,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_COSHOCTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CRAWFORD,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CRENSHAW,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CRITTENDEN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CULLMAN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_CUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DALLAS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DAVIDSON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DAVIE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DAVIESS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DAVIS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DECATUR,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DELAWARE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DENTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DICKENSON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DIXIE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DOUGLAS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DUBOIS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DUVAL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_DYER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_EDGAR,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_EFFINGHAM,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_ELMORE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_EMERY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_ERIE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_FAIRFAX,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_FLAGLER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_FLATHEAD,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_FLORENCE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_FLOYD,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_FOREST,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_FORSYTH,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_FORT_BEND,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_FULTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GALLATIN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GALLIA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GARRETT,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GASTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GIBSON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GILA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GILES,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GRAINGER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GRAYSON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GREENBRIER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GREENE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GUERNSEY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_GUILFORD,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HALIFAX,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HAMBLEN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HAMILTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HARDEE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HARDIN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HARLAN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HARRIS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HARRISON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HARRISONBURG_CITY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HART,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HAWKINS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HENDERSON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HENRY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HERNANDO,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HIGHLANDS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HILLSBOROUGH,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HOCKING,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HOPKINS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HORRY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_HUERFANO,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_INDIANA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_IREDELL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_JACKSON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_JASPER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_JESSAMINE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_JOHNSON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_JOHNSTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
