through_decile,causal_forest_marginal_gross_savings,current_risk_marginal_gross_savings,marginal_advantage_vs_current_risk
1,13437.678984380665,4948.713930959461,8488.965053421205
2,9125.254022563535,2478.6573321856786,6646.596690377856
3,7026.938504662197,3920.4797510555327,3106.4587536066647
4,5222.723721972827,3372.6744602012695,1850.0492617715572
5,3643.62926970196,3307.3734712693313,336.2557984326286
6,2224.915757045841,4586.288975958894,-2361.3732189130533
7,846.4620333003695,2250.0151945844336,-1403.5531612840641
8,-727.0975147788195,1665.4890376233125,-2392.586552402132
9,-2610.316207618933,2501.987362362779,-5112.303569981712
10,-6695.833754113668,2462.6753009152817,-9158.50905502895
