targeting_approach,through_decile,marginal_gross_savings,cumulative_gross_savings
Causal forest benefit score,1,13437.678984380665,13437.678984380665
Causal forest benefit score,2,9125.254022563535,22562.9330069442
Causal forest benefit score,3,7026.938504662197,29589.871511606398
Causal forest benefit score,4,5222.723721972827,34812.595233579224
Causal forest benefit score,5,3643.62926970196,38456.224503281184
Causal forest benefit score,6,2224.915757045841,40681.140260327025
Causal forest benefit score,7,846.4620333003695,41527.602293627395
Causal forest benefit score,8,-727.0975147788195,40800.504778848575
Causal forest benefit score,9,-2610.316207618933,38190.18857122964
Causal forest benefit score,10,-6695.833754113668,31494.354817115975
Current risk score,1,4948.713930959461,4948.713930959461
Current risk score,2,2478.6573321856786,7427.37126314514
Current risk score,3,3920.4797510555327,11347.851014200673
Current risk score,4,3372.6744602012695,14720.525474401942
Current risk score,5,3307.3734712693313,18027.898945671273
Current risk score,6,4586.288975958894,22614.187921630168
Current risk score,7,2250.0151945844336,24864.2031162146
Current risk score,8,1665.4890376233125,26529.692153837914
Current risk score,9,2501.987362362779,29031.679516200693
Current risk score,10,2462.6753009152817,31494.354817115975
