hte_decile,n,treated_n,control_n,avg_predicted_benefit,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap
1,191,91,100,0.0588707322899355,0.08791208791208792,0.4,0.3120879120879121
2,191,94,97,0.03994658636723563,0.2127659574468085,0.26804123711340205,0.05527527966659354
3,191,103,88,0.030698911789346826,0.1941747572815534,0.23863636363636365,0.04446160635481025
4,191,87,104,0.02277309610718267,0.22988505747126436,0.25961538461538464,0.029730327144120272
5,190,94,96,0.015846143378648047,0.2127659574468085,0.21875,0.005984042553191488
6,191,99,92,0.009615100569188703,0.26262626262626265,0.1956521739130435,-0.06697408871321917
7,191,72,119,0.0035246519479276575,0.2361111111111111,0.20168067226890757,-0.03443043884220354
8,191,89,102,-0.0034440074118253306,0.15730337078651685,0.21568627450980393,0.05838290372328708
9,191,78,113,-0.011818931182145585,0.2948717948717949,0.1592920353982301,-0.1355797594735648
10,190,102,88,-0.028669496800477617,0.4117647058823529,0.22727272727272727,-0.18449197860962566
