output_name,output_path,exists
scored_output,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_scored_output.csv,True
test_scored_output,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_scored_test_output.csv,True
data_review_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_data_review_summary.csv,True
preprocessing_audit_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_preprocessing_audit_summary.csv,True
preprocessing_column_audit,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_preprocessing_column_audit.csv,True
split_distribution,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_preprocessing_split_distribution.csv,True
column_name_mapping,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_source_column_name_mapping.csv,True
predictor_inventory,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_predictor_inventory.csv,True
event_count_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_event_count_summary.csv,True
propensity_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_propensity_summary.csv,True
effect_distribution_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_effect_distribution_summary.csv,True
uncertainty_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_uncertainty_summary.csv,True
ate_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_ate_summary.csv,True
hyperparameter_tuning_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_hyperparameter_tuning_summary.csv,True
hyperparameter_stability_pairs,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_hyperparameter_stability_pairs.csv,True
decile_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_decile_summary.csv,True
observed_gap_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_observed_gap_by_decile.csv,True
risk_tier_benefit_group_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_risk_tier_benefit_group_summary.csv,True
top_benefit_examples,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_top_benefit_examples.csv,True
true_benefit_validation_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_true_benefit_validation_summary.csv,True
variable_importance,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_variable_importance.csv,True
top_decile_profile,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_top_decile_profile.csv,True
targeting_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_targeting_summary.csv,True
cumulative_targeting,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_cumulative_gross_savings_by_targeting.csv,True
marginal_targeting,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_marginal_gross_savings_by_targeting.csv,True
marginal_advantage,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_marginal_gross_savings_advantage_vs_current_risk.csv,True
consistency_summary,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_vs_uplift_consistency_summary.csv,True
shap_importance,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_global_benefit_shap_importance.csv,True
shap_member_values,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_member_benefit_shap_values.csv,True
output_index,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\causal_forest_output_index.csv,True
propensity_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\dashboard_propensity_overlap.png,True
effect_distribution_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\dashboard_causal_forest_effect_distribution.png,True
benefit_decile_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\dashboard_causal_forest_avg_benefit_by_decile.png,True
tau_decile_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\dashboard_causal_forest_tau_by_decile.png,True
observed_gap_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\dashboard_causal_forest_observed_gap_by_decile.png,True
risk_tier_benefit_group_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\dashboard_causal_forest_risk_tier_by_benefit_group.png,True
variable_importance_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\dashboard_causal_forest_variable_importance.png,True
shap_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\dashboard_causal_forest_global_benefit_shap.png,True
cumulative_targeting_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\dashboard_cumulative_gross_savings_targeting.png,True
marginal_advantage_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Causal-Forests_Funds\Python\dashboard_marginal_gross_savings_advantage_vs_current_risk.png,True
