column,included_in_model,reason,source_dtype,unique_values
member_id,False,identifier retained in outputs; never modeled,str,3846
client_contract,True,leakage-safe baseline predictor,str,6
age,True,leakage-safe baseline predictor,float64,3350
gender,True,leakage-safe baseline predictor,str,2
dual_elg,True,leakage-safe baseline predictor,int64,2
date_of_death,False,"post-treatment, alternate outcome, or explicitly prohibited",str,285
county,True,leakage-safe baseline predictor,str,292
state,True,leakage-safe baseline predictor,str,34
plan_type,False,zero-variance predictor removed after preprocessing,str,1
diabetes_flag,True,leakage-safe baseline predictor,int64,2
chf_flag,True,leakage-safe baseline predictor,int64,2
copd_flag,True,leakage-safe baseline predictor,int64,2
asthma_flag,True,leakage-safe baseline predictor,int64,2
depression_flag,True,leakage-safe baseline predictor,int64,2
anxiety_flag,True,leakage-safe baseline predictor,int64,2
substance_use_flag,True,leakage-safe baseline predictor,int64,2
ckd_flag,True,leakage-safe baseline predictor,int64,2
bh_flag,True,leakage-safe baseline predictor,int64,2
htn_flag,True,leakage-safe baseline predictor,int64,2
hyperlipidemia_flag,True,leakage-safe baseline predictor,int64,2
cad_flag,True,leakage-safe baseline predictor,int64,2
financial_strain_flag,True,leakage-safe baseline predictor,int64,2
food_insecurity_flag,True,leakage-safe baseline predictor,int64,2
housing_instability_flag,True,leakage-safe baseline predictor,int64,2
transportation_barrier_flag,True,leakage-safe baseline predictor,int64,2
healthliteracy_challenges_flag,True,leakage-safe baseline predictor,int64,2
op_visits_last_6m,True,leakage-safe baseline predictor,int64,38
ed_visits_last_30d,True,leakage-safe baseline predictor,int64,6
ed_visits_last_6m,True,leakage-safe baseline predictor,int64,16
admits_last_6m,True,leakage-safe baseline predictor,int64,9
observation_stays_last_6m,True,leakage-safe baseline predictor,int64,8
total_cost_last_6m,True,leakage-safe baseline predictor,float64,3673
rx_count_last_6m,True,leakage-safe baseline predictor,float64,170
opioid_flag,True,leakage-safe baseline predictor,int64,2
polypharmacy_flag,True,leakage-safe baseline predictor,float64,2
current_risk_score,True,leakage-safe baseline predictor,float64,3348
percolator_score,True,leakage-safe baseline predictor,float64,4000
risk_tier,True,leakage-safe baseline predictor,string,6
program,False,zero-variance predictor removed after preprocessing,str,1
intervention_flag,False,treatment definition/source; metadata only,float64,2
optout_flag,False,treatment definition/source; metadata only,float64,2
programstart,False,"post-treatment, alternate outcome, or explicitly prohibited",str,660
programend,False,"post-treatment, alternate outcome, or explicitly prohibited",str,520
engaged_date,False,"post-treatment, alternate outcome, or explicitly prohibited",str,317
engagement_length,False,"post-treatment, alternate outcome, or explicitly prohibited",float64,305
case_manager_name,False,"post-treatment, alternate outcome, or explicitly prohibited",str,83
interventioncount,False,"post-treatment, alternate outcome, or explicitly prohibited",float64,56
successfulinterventions,False,"post-treatment, alternate outcome, or explicitly prohibited",float64,55
outcome_ed_30d,False,"post-treatment, alternate outcome, or explicitly prohibited",float64,6
outcome_ed_90d,False,not on leakage-safe baseline predictor allowlist,float64,2
outcome_ed_6mo,False,"post-treatment, alternate outcome, or explicitly prohibited",float64,16
outcome_admit_30d,False,"post-treatment, alternate outcome, or explicitly prohibited",float64,4
outcome_admit_90d,False,"post-treatment, alternate outcome, or explicitly prohibited",float64,7
outcome_admit_6mo,False,"post-treatment, alternate outcome, or explicitly prohibited",float64,10
outcome_total_cost_90d,False,"post-treatment, alternate outcome, or explicitly prohibited",float64,4059
outcome_total_cost_6mo,False,"post-treatment, alternate outcome, or explicitly prohibited",float64,4078
source_intervention_flag,False,treatment definition/source; metadata only,float64,2
treatment_derivation_status,False,treatment derivation audit metadata,str,2
death_within_90d_flag,True,leakage-safe baseline predictor,float64,2
