original,normalized
member_id,member_id
client_contract,client_contract
age,age
gender,gender
dual_elg,dual_elg
date_of_death,date_of_death
County,county
State,state
plan_type,plan_type
diabetes_flag,diabetes_flag
chf_flag,chf_flag
copd_flag,copd_flag
asthma_flag,asthma_flag
depression_flag,depression_flag
anxiety_flag,anxiety_flag
substance_use_flag,substance_use_flag
ckd_flag,ckd_flag
bh_flag,bh_flag
htn_flag,htn_flag
hyperlipidemia_flag,hyperlipidemia_flag
cad_flag,cad_flag
financial_strain_flag,financial_strain_flag
food_insecurity_flag,food_insecurity_flag
housing_instability_flag,housing_instability_flag
transportation_barrier_flag,transportation_barrier_flag
healthliteracy_challenges_flag,healthliteracy_challenges_flag
op_visits_last_6m,op_visits_last_6m
ed_visits_last_30d,ed_visits_last_30d
ed_visits_last_6m,ed_visits_last_6m
admits_last_6m,admits_last_6m
observation_stays_last_6m,observation_stays_last_6m
total_cost_last_6m,total_cost_last_6m
rx_count_last_6m,rx_count_last_6m
opioid_flag,opioid_flag
polypharmacy_flag,polypharmacy_flag
current_risk_score,current_risk_score
percolator_score,percolator_score
risk_tier,risk_tier
program,program
intervention_flag,intervention_flag
OptOut_flag,optout_flag
ProgramStart,programstart
ProgramEnd,programend
engaged_date,engaged_date
engagement_length,engagement_length
case_manager_name,case_manager_name
InterventionCount,interventioncount
SuccessfulInterventions,successfulinterventions
outcome_ed_30d,outcome_ed_30d
outcome_ed_90d,outcome_ed_90d
outcome_ed_6MO,outcome_ed_6mo
outcome_admit_30d,outcome_admit_30d
outcome_admit_90d,outcome_admit_90d
outcome_admit_6MO,outcome_admit_6mo
outcome_total_cost_90d,outcome_total_cost_90d
outcome_total_cost_6MO,outcome_total_cost_6mo
