hte_decile,n,avg_benefit_score,observed_ed_rate,treatment_pct,avg_current_risk_score,expected_ed_visits_avoided,gross_savings,intervention_cost,net_savings,roi,cumulative_members,cumulative_expected_ed_reductions
1,191,0.05887073228993549,0.2513089005235602,0.47643979057591623,7.879150628445026,11.244309867377678,13493.171840853214,47750.0,-34256.82815914678,-0.7174204850083096,191,11.244309867377678
2,191,0.03994658636723563,0.24083769633507854,0.49214659685863876,6.349912316683246,7.629797996142005,9155.757595370407,47750.0,-38594.24240462959,-0.808256385437269,382,18.874107863519683
3,191,0.030698911789346826,0.21465968586387435,0.5392670157068062,6.3082372812329846,5.863492151765244,7036.190582118293,47750.0,-40713.809417881705,-0.8526452234111351,573,24.737600015284926
4,191,0.02277309610718267,0.24607329842931938,0.45549738219895286,6.642850486146597,4.34966135647189,5219.593627766268,47750.0,-42530.40637223373,-0.8906891386855231,764,29.087261371756817
5,190,0.015846143378648044,0.21578947368421053,0.49473684210526314,6.131150675255263,3.010767241943128,3612.9206903317536,47500.0,-43887.07930966825,-0.9239385117824894,954,32.098028613699945
6,191,0.009615100569188701,0.23036649214659685,0.518324607329843,5.958212514026179,1.836484208715042,2203.7810504580502,47750.0,-45546.21894954195,-0.9538475172678943,1145,33.93451282241499
7,191,0.003524651947927658,0.21465968586387435,0.3769633507853403,5.9977752343298425,0.6732085220541827,807.8502264650192,47750.0,-46942.149773534984,-0.9830816706499473,1336,34.60772134446917
8,191,-0.0034440074118253306,0.18848167539267016,0.46596858638743455,5.345698984879581,-0.6578054156586381,-789.3664987903658,47750.0,-48539.36649879037,-1.0165312355767617,1527,33.94991592881053
9,191,-0.011818931182145585,0.21465968586387435,0.4083769633507853,5.7952243740287965,-2.2574158557898065,-2708.8990269477677,47750.0,-50458.899026947765,-1.0567308696742987,1718,31.692500073020728
10,190,-0.028669496800477617,0.3263157894736842,0.5368421052631579,6.470342635789473,-5.447204392090748,-6536.645270508897,47500.0,-54036.645270508896,-1.1376135846422926,1908,26.24529568092998
