feature,top_hte_decile_mean_or_rate,other_deciles_mean_or_rate,difference
total_cost_last_6m,31177.725366492145,25485.03818287711,5692.687183615035
percolator_score,729.8216209424082,706.4059255445544,23.415695397853824
current_risk_score,7.879150628445027,6.110823975912638,1.768326652532389
rx_count_last_6m,34.109947643979055,35.414094350611535,-1.30414670663248
ed_visits_last_6m,0.4083769633507853,1.0034944670937682,-0.5951175037429829
admits_last_6m,0.2879581151832461,0.5975538730343622,-0.30959575785111615
housing_instability_flag,0.34554973821989526,0.21258008153756552,0.13296965668232974
transportation_barrier_flag,0.31413612565445026,0.2335468841001747,0.08058924155427555
ed_visits_last_30d,0.17801047120418848,0.25684333139196275,-0.07883286018777427
food_insecurity_flag,0.3036649214659686,0.22655794991263833,0.07710697155333024
bh_flag,0.23036649214659685,0.29178800232964475,-0.061421510183047895
death_within_90d_flag,0.07329842931937172,0.1025043680838672,-0.02920593876449548
financial_strain_flag,0.29842931937172773,0.27722772277227725,0.02120159659945048
dual_elg,0.9842931937172775,0.9697146185206756,0.014578575196601884
op_visits_last_6m,6.87958115183246,6.874199184624345,0.005381967208115235
