rank,feature,importance
1,percolator_score,0.14662271374257252
2,current_risk_score,0.11493050203259468
3,total_cost_last_6m,0.11122156742449278
4,age,0.1072572618935609
5,rx_count_last_6m,0.08214406074561412
6,ed_visits_last_6m,0.06503538332237521
7,op_visits_last_6m,0.05280795928962013
8,admits_last_6m,0.030478653034724842
9,housing_instability_flag,0.02808441406251694
10,chf_flag,0.02677975469166064
11,ed_visits_last_30d,0.016948047843466527
12,opioid_flag,0.013762883093651928
13,cad_flag,0.013151924176250227
14,diabetes_flag,0.012657260537683646
15,copd_flag,0.012125136061778721
16,observation_stays_last_6m,0.00953966460395685
17,client_contract_The_Funds_92,0.00949239991479941
18,anxiety_flag,0.00919440014639692
19,ckd_flag,0.008795425476641932
20,depression_flag,0.007691801179695759
21,state_IL,0.0074952921869990904
22,bh_flag,0.007257179257510928
23,state_WV,0.007246599764547345
24,client_contract_The_Funds_93_PRE,0.006622957435230451
25,gender_F,0.006593137504988816
26,asthma_flag,0.006432587906894224
27,state_OH,0.006221964812031863
28,food_insecurity_flag,0.006086717845825797
29,gender_M,0.005987250924011982
30,risk_tier_4,0.005668926762869904
31,financial_strain_flag,0.005596096511027395
32,healthliteracy_challenges_flag,0.005532705259747064
33,risk_tier_3,0.005488516506086025
34,state_KY,0.005230456637643876
35,transportation_barrier_flag,0.004655877837097549
36,hyperlipidemia_flag,0.004013474115872643
37,death_within_90d_flag,0.0038691219470634547
38,state_IN,0.003864153033348952
39,client_contract_The_Funds_CM,0.0036431154712701225
40,polypharmacy_flag,0.0036317585913569865
41,state_PA,0.0021656686479883504
42,risk_tier_2,0.002024988117184403
43,state_VA,0.0018861295754101532
44,htn_flag,0.001704055591218554
45,county_RALEIGH,0.000773895556922665
46,state_AL,0.0005422467381939803
47,county_FRANKLIN,0.0004222099301534952
48,risk_tier_1,0.00024977256146852526
49,substance_use_flag,0.0001528976412871585
50,county_PIKE,8.748987272765811e-05
51,county_WILLIAMSON,5.886030282378138e-05
52,risk_tier_5,3.5982489557017526e-05
53,county_JEFFERSON,2.648765314539974e-05
54,county_WISE,8.849390217583485e-06
55,county_LOGAN,1.3623462221406088e-06
56,county_BELL,0.0
57,county_BELMONT,0.0
58,county_BIBB,0.0
59,county_BLAIR,0.0
60,county_BLAND,0.0
61,county_BLOUNT,0.0
62,county_BOONE,0.0
63,county_BOWMAN,0.0
64,county_BOYD,0.0
65,county_BRADLEY,0.0
66,county_BRAXTON,0.0
67,county_BREVARD,0.0
68,county_BRISTOL_CITY,0.0
69,county_BROOKE,0.0
70,county_BRUNSWICK,0.0
71,county_BUCHANAN,0.0
72,county_BURKE,0.0
73,county_BUTLER,0.0
74,county_CABELL,0.0
75,county_CALDWELL,0.0
76,county_CALHOUN,0.0
77,county_CAMBRIA,0.0
78,county_CAMDEN,0.0
79,county_CAMPBELL,0.0
80,county_CARBON,0.0
81,county_CASS,0.0
82,county_CATAWBA,0.0
83,county_CENTRE,0.0
84,county_CHAMPAIGN,0.0
85,county_CHESTERFIELD,0.0
86,county_CHILTON,0.0
87,county_CHRISTIAN,0.0
88,county_CITRUS,0.0
89,county_CLAIBORNE,0.0
90,county_CLARENDON,0.0
91,county_CLARION,0.0
92,county_CLARK,0.0
93,county_CLAY,0.0
94,county_CLEARFIELD,0.0
95,county_CLERMONT,0.0
96,county_CLINTON,0.0
97,county_COCONINO,0.0
98,county_COLFAX,0.0
99,county_COSHOCTON,0.0
100,county_CRAWFORD,0.0
101,county_CRENSHAW,0.0
102,county_CRITTENDEN,0.0
103,county_CULLMAN,0.0
104,county_CUMBERLAND,0.0
105,county_DALLAS,0.0
106,county_DAVIDSON,0.0
107,county_DAVIE,0.0
108,county_DAVIESS,0.0
109,county_DAVIS,0.0
110,county_DECATUR,0.0
111,county_DELAWARE,0.0
112,county_DENTON,0.0
113,county_DICKENSON,0.0
114,county_DIXIE,0.0
115,county_DOUGLAS,0.0
116,county_DUBOIS,0.0
117,county_DUVAL,0.0
118,county_DYER,0.0
119,county_EDGAR,0.0
120,county_EFFINGHAM,0.0
121,county_ELMORE,0.0
122,county_EMERY,0.0
123,county_ERIE,0.0
124,county_FAIRFAX,0.0
125,county_FAYETTE,0.0
126,county_FLAGLER,0.0
127,county_FLATHEAD,0.0
128,county_FLORENCE,0.0
129,county_FLOYD,0.0
130,county_FOREST,0.0
131,county_FORSYTH,0.0
132,county_FORT_BEND,0.0
133,county_FULTON,0.0
134,county_GALLATIN,0.0
135,county_GALLIA,0.0
136,county_GARRETT,0.0
137,county_GASTON,0.0
138,county_GIBSON,0.0
139,county_GILA,0.0
140,county_GILES,0.0
141,county_GRAINGER,0.0
142,county_GRAYSON,0.0
143,county_GREENBRIER,0.0
144,county_GREENE,0.0
145,county_GUERNSEY,0.0
146,county_GUILFORD,0.0
147,county_HALIFAX,0.0
148,county_HAMBLEN,0.0
149,county_HAMILTON,0.0
150,county_HARDEE,0.0
151,county_HARDIN,0.0
152,county_HARLAN,0.0
153,county_HARRIS,0.0
154,county_HARRISON,0.0
155,county_HARRISONBURG_CITY,0.0
156,county_HART,0.0
157,county_HAWKINS,0.0
158,county_HENDERSON,0.0
159,county_HENRY,0.0
160,county_HERNANDO,0.0
161,county_HIGHLANDS,0.0
162,county_HILLSBOROUGH,0.0
163,county_HOCKING,0.0
164,county_HOPKINS,0.0
165,county_HORRY,0.0
166,county_HUERFANO,0.0
167,county_INDIANA,0.0
168,county_IREDELL,0.0
169,county_JACKSON,0.0
170,county_JASPER,0.0
