feature,mean_abs_benefit_shap,mean_signed_benefit_shap,mean_positive_benefit_shap,mean_negative_benefit_shap,pct_positive_benefit_shap,pct_negative_benefit_shap
percolator_clinical_score,0.0040180132052416535,0.0002094349491349691,0.002113724077188312,-0.0019042891280533433,0.25,0.75
age,0.004013527301752459,-0.00012212611319689393,0.0019457005942777824,-0.002067826707474677,0.3333333333333333,0.6666666666666666
current_risk_score,0.0028350260222284613,0.0003089419547553488,0.0015719839884919048,-0.0012630420337365565,0.29333333333333333,0.7066666666666667
percolator_utilization_score,0.002153043477858859,0.00025566876336630617,0.0012043561206125824,-0.0009486873572462762,0.35333333333333333,0.6466666666666666
med_adherence_pdc,0.00204517655808528,-0.00011917962345040149,0.0009629984673174397,-0.001082178090767842,0.36333333333333334,0.6366666666666667
percolator_sdoh_score,0.0016902058476999408,-0.00011777454454186195,0.0007862156515790396,-0.0009039901961209007,0.35,0.65
pcp_visits_last_6m,0.0015697602035108138,-8.449908611284806e-05,0.0007426305586989832,-0.0008271296448118304,0.42,0.58
ed_visits_last_6m,0.0014991644534798107,0.00022637087840418448,0.0008627676659419967,-0.0006363967875378128,0.55,0.45
county_County_E,0.0014675581158886493,-0.00017722687547340303,0.0006451656202076235,-0.0008223924956810265,0.8066666666666666,0.19333333333333333
rx_count_last_6m,0.001294737113605549,0.00030971945437103615,0.0008022282839882929,-0.0004925088296172561,0.43,0.57
total_cost_last_6m,0.0011089314166385447,0.0004021444168124113,0.000755537916725477,-0.0003533934999130657,0.5833333333333334,0.4166666666666667
program_Complex_CM,0.001081273211260639,0.00016414598951621228,0.0006227096003884262,-0.00045856361087221354,0.21333333333333335,0.7866666666666666
anxiety_flag,0.0009973294677523713,8.99497442311504e-05,0.0005436396059917606,-0.0004536898617606097,0.7566666666666667,0.24333333333333335
service_region_Central,0.0009594412646782406,5.7214029589789294e-06,0.0004825813338186095,-0.0004768599308596307,0.7833333333333333,0.21666666666666667
program_CM,0.0007588166427950949,-1.5346085657462933e-05,0.00037173527856881595,-0.00038708136422627864,0.41333333333333333,0.5866666666666667
copd_flag,0.0006275049413780474,5.379834827097449e-05,0.00034065164482451114,-0.0002868532965535367,0.18666666666666668,0.8133333333333334
observation_stays_last_6m,0.0006102248867634,-6.279705540269067e-05,0.00027371391568035476,-0.00033651097108304556,0.21,0.79
diabetes_flag,0.0005119037488799638,-4.1432878851624714e-05,0.00023523543501416963,-0.00027666831386579424,0.66,0.34
plan_type_Medicare,0.0004854805659698475,-5.006578277802916e-05,0.00021770739159590897,-0.00026777317437393837,0.7733333333333333,0.22666666666666666
ed_visits_last_30d,0.00047689548048157474,8.169592624858245e-05,0.0002792957033650786,-0.00019759977711649625,0.2,0.8
living_alone_flag,0.00046326450289440674,-1.805684690505698e-05,0.00022260382799467498,-0.00024066067489973206,0.28,0.72
specialist_visits_last_6m,0.0004609620124805232,6.266456505931724e-05,0.0002618132887699201,-0.00019914872371060288,0.5433333333333333,0.45666666666666667
gender_Male,0.00034332251868323164,-2.0501074976116528e-05,0.00016141072185355755,-0.00018191179682967414,0.5533333333333333,0.44666666666666666
risk_tier_Medium,0.00032895036323646977,8.57844972284789e-05,0.0002073674302324743,-0.0001215829330039953,0.38,0.62
behavioral_health_risk_flag,0.0003139427745092498,6.7117966545681675e-06,0.00016032728558190894,-0.0001536154889273407,0.5433333333333333,0.45666666666666667
gender_Female,0.00030951783753186687,-4.749999854811995e-06,0.0001523839188385274,-0.0001571339186933395,0.54,0.46
client_contract_Contract_B,0.00030519549969380854,3.190293750001293e-05,0.00016854921859691066,-0.0001366462810968977,0.5733333333333334,0.4266666666666667
ckd_flag,0.00030408117898367434,-4.150817647950713e-05,0.0001312865012520834,-0.00017279467773159053,0.14,0.86
county_County_B,0.00029131549714546666,-2.8836676188540504e-05,0.00013123941047846316,-0.00016007608666700353,0.15666666666666668,0.8433333333333334
