rank,feature,importance
1,current_risk_score,0.5106989314196935
2,percolator_clinical_score,0.1862104472638805
3,age,0.13273164423543085
4,total_cost_last_6m,0.061364834358302825
5,percolator_utilization_score,0.030207449856472873
6,percolator_sdoh_score,0.015138038612681207
7,rx_count_last_6m,0.01187062914827476
8,pcp_visits_last_6m,0.00853078365553637
9,program_Complex_CM,0.007203515407768631
10,med_adherence_pdc,0.007150129840186179
11,county_County_E,0.006559965644932529
12,ed_visits_last_6m,0.005256103807765933
13,depression_flag,0.0018178280364204245
14,risk_tier_High,0.0018016852927256125
15,program_CM,0.0015332693923095098
16,client_contract_Contract_B,0.0012835752602334627
17,behavioral_health_risk_flag,0.0011334420977169943
18,living_alone_flag,0.000838240819580755
19,specialist_visits_last_6m,0.0008272473115770882
20,diabetes_flag,0.00075453127726125
21,client_contract_Contract_A,0.0007364672210471481
22,anxiety_flag,0.0007091526783206025
23,gender_Female,0.0006065626714112077
24,plan_type_Medicaid,0.0005978923172698791
25,gender_Male,0.0005082112535015761
26,program_BH_CM,0.00048641177089111246
27,service_region_Central,0.0004147234313722302
28,risk_tier_Medium,0.0003601357135827476
29,admits_last_6m,0.00033163105620716206
30,ed_visits_last_30d,0.00025451210277172546
31,dual_eligible,0.0002504948736182007
32,county_County_F,0.00017749926820822623
33,language_English,0.00017748524050613176
34,service_region_South,0.00014892791966891332
35,service_region_North,0.00014263372910578985
36,transportation_barrier_flag,0.0001398435906554804
37,chf_flag,0.00013179594842211426
38,client_contract_Contract_C,0.00012405976123874995
39,observation_stays_last_6m,0.00011815268308808301
40,language_Spanish,0.00011503645301607714
41,plan_type_Medicare,0.00011148784740986178
42,housing_instability_flag,9.24393526429388e-05
43,service_region_West,7.196340866058e-05
44,county_County_A,6.142420905858118e-05
45,risk_tier_Low,5.451202335858767e-05
46,polypharmacy_flag,5.339416330040047e-05
47,high_cost_drug_flag,3.28174247994312e-05
48,county_County_D,2.9555862635960802e-05
49,county_County_C,1.8931085817257426e-05
50,ckd_flag,1.860241194796931e-05
51,substance_use_flag,1.0949787714277986e-05
52,asthma_flag,0.0
53,copd_flag,0.0
54,food_insecurity_flag,0.0
55,case_manager_name_CM_02,0.0
56,service_region_East,0.0
57,opioid_flag,0.0
58,utilities_insecurity_flag,0.0
59,case_manager_name_CM_01,0.0
60,case_manager_name_CM_07,0.0
61,case_manager_name_CM_03,0.0
62,case_manager_name_CM_15,0.0
63,case_manager_name_CM_12,0.0
64,case_manager_name_CM_13,0.0
65,case_manager_name_CM_14,0.0
66,case_manager_name_CM_11,0.0
67,case_manager_name_CM_08,0.0
68,case_manager_name_CM_09,0.0
69,case_manager_name_CM_10,0.0
70,case_manager_name_CM_06,0.0
71,case_manager_name_CM_05,0.0
72,case_manager_name_CM_04,0.0
73,county_County_B,0.0
74,plan_type_Dual,0.0
75,plan_type_Commercial,0.0
76,language_Other,0.0
77,risk_tier_Very_High,0.0
