feature,mean_abs_benefit_contribution,mean_signed_benefit_contribution,pct_positive_benefit_contribution,control_coefficient,treated_coefficient,coefficient_difference,importance_type
utilities_insecurity_flag,0.141383105872291,-0.0002359101976119075,0.8266666666666667,-0.18634823861951688,0.0004008687225557949,-0.18674910734207267,glmnet_standardized_logit_contribution_difference
current_risk_score,0.13750224988981918,0.020101097942298782,0.5066666666666667,0.16448889620736976,0.0012713868301899227,0.16321750937717983,glmnet_standardized_logit_contribution_difference
dual_eligible,0.1219784959168717,-0.008662089199881278,0.71,-0.13430511274659246,-0.000234867654228561,-0.1340702450923639,glmnet_standardized_logit_contribution_difference
ed_visits_last_6m,0.11614924609820361,0.023867446827402685,0.59,0.1374251746395035,0.0013101456389330527,0.13611502900057043,glmnet_standardized_logit_contribution_difference
county_County_A,0.10461142405954359,-0.0028183371112845503,0.17666666666666667,0.1372725741289973,0.00017369367973856903,0.13709888044925872,glmnet_standardized_logit_contribution_difference
case_manager_name_CM_14,0.08178178062294308,0.01015221263894244,0.07666666666666666,0.1522252009896525,-0.0002746800929530062,0.1524998810826055,glmnet_standardized_logit_contribution_difference
program_Complex_CM,0.06185805524685442,0.0005353023452202341,0.19666666666666666,0.07775228510568491,-5.770732851913071e-05,0.07780999243420404,glmnet_standardized_logit_contribution_difference
risk_tier_High,0.05936434010182201,0.013437515609870922,0.14333333333333334,0.08367193353428508,0.001153875104387715,0.08251805842989736,glmnet_standardized_logit_contribution_difference
case_manager_name_CM_13,0.04383229578832519,0.015987653578986544,0.07666666666666666,0.07717135015417252,0.00043658500564754436,0.07673476514852498,glmnet_standardized_logit_contribution_difference
copd_flag,0.04202206010586161,-0.003324514639762377,0.15333333333333332,0.05864739462704243,0.0005150729794545482,0.05813232164758788,glmnet_standardized_logit_contribution_difference
ed_visits_last_30d,0.003086437430247354,3.502528921567072e-05,0.19,0.004502333823213854,0.0004156346770448274,0.004086699146169027,glmnet_standardized_logit_contribution_difference
percolator_clinical_score,0.0030406140938723705,0.00032985430978979953,0.48,0.004203327687986595,0.0005356645154952075,0.0036676631724913878,glmnet_standardized_logit_contribution_difference
percolator_utilization_score,0.0010198533048690764,2.949206126033439e-05,0.5366666666666666,0.0,0.0014281079558443996,-0.0014281079558443996,glmnet_standardized_logit_contribution_difference
total_cost_last_6m,0.0008141339784915196,0.00011605539319604908,0.59,0.0,0.0011391416125287942,-0.0011391416125287942,glmnet_standardized_logit_contribution_difference
diabetes_flag,0.000783934987231362,-1.430212063363945e-05,0.6833333333333333,0.0,0.0008424813297685862,-0.0008424813297685862,glmnet_standardized_logit_contribution_difference
risk_tier_Medium,0.0007257445400256142,-7.22796174911636e-05,0.7066666666666667,0.0,-0.0007930510631756251,0.0007930510631756251,glmnet_standardized_logit_contribution_difference
admits_last_6m,0.0006249912591392001,8.147851695943959e-05,0.7233333333333334,0.0,0.0008389882362381153,-0.0008389882362381153,glmnet_standardized_logit_contribution_difference
food_insecurity_flag,0.0006214029906188843,8.714923962817187e-05,0.7833333333333333,0.0,0.0007467244545160736,-0.0007467244545160736,glmnet_standardized_logit_contribution_difference
observation_stays_last_6m,0.000611531946188196,-0.00011631529361403006,0.75,0.0,0.0007621415382989601,-0.0007621415382989601,glmnet_standardized_logit_contribution_difference
ckd_flag,0.0004951641661689902,1.424932852284805e-06,0.85,0.0,0.0006933656492622481,-0.0006933656492622481,glmnet_standardized_logit_contribution_difference
client_contract_Contract_B,0.0004645706668447412,2.4395946744746398e-05,0.66,0.0,0.0004896781545544991,-0.0004896781545544991,glmnet_standardized_logit_contribution_difference
chf_flag,0.00040837530788989304,3.413663564404684e-05,0.84,0.0,0.0005550181688780372,-0.0005550181688780372,glmnet_standardized_logit_contribution_difference
med_adherence_pdc,0.0004033224197683086,3.63964165155492e-05,0.5933333333333334,0.0,-0.0005197663084999749,0.0005197663084999749,glmnet_standardized_logit_contribution_difference
service_region_Central,0.0004009062573236811,1.505600806569157e-05,0.8166666666666667,0.0,0.0005176821995664814,-0.0005176821995664814,glmnet_standardized_logit_contribution_difference
