feature,mean_abs_model_contribution,coefficient,model,importance_type
total_cost_last_6m,0.0017053457420899368,0.0021736381222944544,Treated Model,standardized_logit_contribution
percolator_utilization_score,0.0016543553351330278,0.0023843902189768494,Treated Model,standardized_logit_contribution
current_risk_score,0.0016189251820441341,0.0019390164106265258,Treated Model,standardized_logit_contribution
admits_last_6m,0.001353163697682126,0.0017867571493614797,Treated Model,standardized_logit_contribution
behavioral_health_risk_flag,0.0011791801037395282,0.001203812341426302,Treated Model,standardized_logit_contribution
chf_flag,0.0010730804473873922,0.0014950212674443048,Treated Model,standardized_logit_contribution
ed_visits_last_6m,0.001062980105378154,0.0013576046394167523,Treated Model,standardized_logit_contribution
food_insecurity_flag,0.0010224530135596543,0.0012284729871579012,Treated Model,standardized_logit_contribution
risk_tier_High,0.000986186461122219,0.0014198824312942684,Treated Model,standardized_logit_contribution
service_region_Central,0.0009686128703097428,0.001154958221135192,Treated Model,standardized_logit_contribution
risk_tier_Medium,0.0008873782839981688,-0.0009500652336971633,Treated Model,standardized_logit_contribution
program_Complex_CM,0.0008547569268940086,-0.0010427260611519692,Treated Model,standardized_logit_contribution
county_County_E,0.0008218910551216635,0.0010384174063406808,Treated Model,standardized_logit_contribution
asthma_flag,0.000784542303597513,-0.0010449679398392905,Treated Model,standardized_logit_contribution
ckd_flag,0.0007654061923211978,0.00111801799986535,Treated Model,standardized_logit_contribution
case_manager_name_CM_09,0.0007376445383923976,0.0014717372204985162,Treated Model,standardized_logit_contribution
language_Spanish,0.0007204750895286162,-0.0008989743131806392,Treated Model,standardized_logit_contribution
client_contract_Contract_B,0.0006730404513487734,0.0007196713066572642,Treated Model,standardized_logit_contribution
county_County_B,0.0006613552776545164,-0.0009019951048188836,Treated Model,standardized_logit_contribution
client_contract_Contract_A,0.0006451222367122235,-0.0006439104326401783,Treated Model,standardized_logit_contribution
diabetes_flag,0.0006168205731110774,0.0006493159661954934,Treated Model,standardized_logit_contribution
age,0.0006135576208775871,0.0007535821315113821,Treated Model,standardized_logit_contribution
risk_tier_Low,0.0005799347844236918,-0.0007559316482655583,Treated Model,standardized_logit_contribution
plan_type_Medicare,0.0005410254036692887,0.0006460455535710401,Treated Model,standardized_logit_contribution
observation_stays_last_6m,0.0005371520188940157,0.000727166058425173,Treated Model,standardized_logit_contribution
program_BH_CM,0.0005294254485630246,0.0005997735235581061,Treated Model,standardized_logit_contribution
anxiety_flag,0.0005262559403327098,0.0006025715538836752,Treated Model,standardized_logit_contribution
plan_type_Medicaid,0.0005022220699725233,-0.0005025937697008949,Treated Model,standardized_logit_contribution
ed_visits_last_30d,0.000494745274431308,0.0005938576734833959,Treated Model,standardized_logit_contribution
service_region_West,0.0004778229591778932,-0.0006467141400474461,Treated Model,standardized_logit_contribution
percolator_clinical_score,0.00045903154890410304,0.000621472765101782,Treated Model,standardized_logit_contribution
language_Other,0.00044079246587357937,0.0010337711059342702,Treated Model,standardized_logit_contribution
copd_flag,0.0004142513179128401,0.0005310822447090032,Treated Model,standardized_logit_contribution
case_manager_name_CM_02,0.00040717927921719957,0.0007801907726329462,Treated Model,standardized_logit_contribution
case_manager_name_CM_04,0.00037866442912627544,-0.000691981563725623,Treated Model,standardized_logit_contribution
county_County_D,0.0003660526890463882,-0.0005010488908574813,Treated Model,standardized_logit_contribution
specialist_visits_last_6m,0.0003542783196211479,0.0004520815731293872,Treated Model,standardized_logit_contribution
program_CM,0.000329672876192674,0.00032923090234915635,Treated Model,standardized_logit_contribution
case_manager_name_CM_08,0.0002947283024855578,-0.0005774655152252597,Treated Model,standardized_logit_contribution
case_manager_name_CM_15,0.000282901087347897,0.00048251771584282205,Treated Model,standardized_logit_contribution
gender_Male,0.00028092245676038203,-0.0002823943611478624,Treated Model,standardized_logit_contribution
gender_Female,0.00028092245676038203,0.0002823943611478624,Treated Model,standardized_logit_contribution
substance_use_flag,0.0002738099083692797,-0.0003701979797515745,Treated Model,standardized_logit_contribution
med_adherence_pdc,0.0002683832210274481,-0.00038368769584392633,Treated Model,standardized_logit_contribution
case_manager_name_CM_11,0.0002649195104369544,-0.000592851507787311,Treated Model,standardized_logit_contribution
high_cost_drug_flag,0.0002593333665152429,-0.00035353881469007514,Treated Model,standardized_logit_contribution
opioid_flag,0.00025180399174521567,-0.0003400429044266434,Treated Model,standardized_logit_contribution
case_manager_name_CM_12,0.00024297967595131664,-0.00039994858808836854,Treated Model,standardized_logit_contribution
case_manager_name_CM_05,0.00023962467972910232,-0.0005316647633872107,Treated Model,standardized_logit_contribution
case_manager_name_CM_07,0.00022428382666526755,-0.00042075225016509484,Treated Model,standardized_logit_contribution
case_manager_name_CM_06,0.00022043110406553274,-0.0004603248231140986,Treated Model,standardized_logit_contribution
living_alone_flag,0.00021365278013076296,0.00023536707230172743,Treated Model,standardized_logit_contribution
percolator_sdoh_score,0.00018820425929779428,0.000245989587670788,Treated Model,standardized_logit_contribution
risk_tier_Very_High,0.00018108891940371477,0.0030030199967651565,Treated Model,standardized_logit_contribution
county_County_C,0.00017025089236404704,0.00021784265883345656,Treated Model,standardized_logit_contribution
dual_eligible,0.00016985458014498854,-0.00018628547085674084,Treated Model,standardized_logit_contribution
language_English,0.00016692459335209667,0.000194126951813769,Treated Model,standardized_logit_contribution
service_region_East,0.00014446515089972417,-0.00017930877777005952,Treated Model,standardized_logit_contribution
plan_type_Dual,0.00014267969396002518,-0.0001812019312327104,Treated Model,standardized_logit_contribution
