model,through_uplift_decile,population_fraction_targeted,n,treated_n,control_n,treated_events,control_events,avg_predicted_benefit,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,predicted_benefit_within_observed_gap_ci_95
GLMNET,1,0.1,30,11,19,2,5,0.12914067705772447,0.08133971291866027,-0.35891644163335507,0.4365478214919104,True
GLMNET,2,0.2,60,24,36,3,7,0.10426713016433062,0.06944444444444445,-0.2125078607919741,0.30683709085945987,True
GLMNET,3,0.3,90,42,48,3,7,0.08882663224531037,0.07440476190476192,-0.11761177636985992,0.2470813567269668,True
GLMNET,4,0.4,120,53,67,4,7,0.07763883764188258,0.02900591382709096,-0.12704707848050767,0.17057327652819793,True
GLMNET,5,0.5,150,62,88,5,8,0.06890523297873564,0.010263929618768333,-0.128499293198302,0.1343155597878303,True
GLMNET,6,0.6,180,75,105,5,9,0.06175237914893164,0.01904761904761905,-0.10100112287016741,0.12611269436625153,True
GLMNET,7,0.7,210,92,118,6,9,0.05592272236952307,0.011053795136330147,-0.09441475265808597,0.10838789219866599,True
GLMNET,8,0.8,240,105,135,6,11,0.050838976697684404,0.024338624338624347,-0.07299100402764047,0.11356688502480139,True
GLMNET,9,0.9,270,115,155,6,13,0.04594063083956298,0.03169705469845723,-0.05950221725950718,0.11407258115055569,True
GLMNET,10,1.0,300,122,178,6,13,0.040964764361514895,0.02385337999631608,-0.05997706447388467,0.09819981908555045,True
