uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,30,0.1291406770577245,0.23333333333333334,0.36666666666666664,0.03746992166009728,0.16661059871782177
2,30,0.07939358327093675,0.1,0.43333333333333335,0.03721303600408603,0.11660661927502278
3,30,0.05794563640726984,0.0,0.6,0.0370820499188216,0.09502768632609145
4,30,0.04407545383159923,0.03333333333333333,0.36666666666666664,0.03692853606710096,0.0810039898987002
5,30,0.033970814326147826,0.06666666666666667,0.3,0.036925824293319504,0.07089663861946734
6,30,0.02598810999991176,0.03333333333333333,0.43333333333333335,0.03683566399726804,0.0628237739971798
7,30,0.020944781693071658,0.03333333333333333,0.5666666666666667,0.03686382920380711,0.05780861089687876
8,30,0.015252756994813632,0.06666666666666667,0.43333333333333335,0.03683674402886538,0.052089501023679013
9,30,0.006753863974591618,0.06666666666666667,0.3333333333333333,0.03685176234961229,0.04360562632420391
10,30,-0.0038180339409178282,0.0,0.23333333333333334,0.036807842000080804,0.032989808059162976
