model,uplift_decile,n,treated_n,control_n,treated_events,control_events,observed_ed_rate,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,avg_predicted_benefit,predicted_benefit_within_observed_gap_ci_95,predicted_minus_observed_gap,abs_predicted_minus_observed_gap,avg_pred_ed_if_treated,avg_pred_ed_if_control,treated_pct,ci_method
GLMNET,1,30,11,19,2,5,0.23333333333333334,0.18181818181818182,0.2631578947368421,0.08133971291866027,-0.35891644163335507,0.4365478214919104,0.12914067705772447,True,0.047800964139064206,0.047800964139064206,0.037469921660097286,0.1666105987178218,0.36666666666666664,newcombe_wilson_difference_in_proportions
GLMNET,2,30,13,17,1,2,0.1,0.07692307692307693,0.11764705882352941,0.04072398190045248,-0.30025973824761487,0.3296530869701675,0.07939358327093674,True,0.03866960137048425,0.03866960137048425,0.03721303600408603,0.11660661927502279,0.43333333333333335,newcombe_wilson_difference_in_proportions
GLMNET,3,30,18,12,0,0,0.0,0.0,0.0,0.0,-0.17587922593328437,0.2424940095530979,0.057945636407269845,True,0.057945636407269845,0.057945636407269845,0.037082049918821594,0.09502768632609143,0.6,newcombe_wilson_difference_in_proportions
GLMNET,4,30,11,19,1,0,0.03333333333333333,0.09090909090909091,0.0,-0.09090909090909091,-0.3773584391082959,0.15194705355423807,0.044075453831599234,True,0.13498454474069016,0.13498454474069016,0.03692853606710096,0.0810039898987002,0.36666666666666664,newcombe_wilson_difference_in_proportions
GLMNET,5,30,9,21,1,1,0.06666666666666667,0.1111111111111111,0.047619047619047616,-0.06349206349206349,-0.42654372065468954,0.2068027152839283,0.033970814326147826,True,0.09746287781821131,0.09746287781821131,0.036925824293319504,0.07089663861946732,0.3,newcombe_wilson_difference_in_proportions
GLMNET,6,30,13,17,0,1,0.03333333333333333,0.0,0.058823529411764705,0.058823529411764705,-0.2176349742628504,0.26982030858456973,0.025988109999911763,True,-0.032835419411852945,0.032835419411852945,0.03683566399726804,0.06282377399717981,0.43333333333333335,newcombe_wilson_difference_in_proportions
GLMNET,7,30,17,13,1,0,0.03333333333333333,0.058823529411764705,0.0,-0.058823529411764705,-0.26982030858456973,0.2176349742628504,0.02094478169307166,True,0.07976831110483637,0.07976831110483637,0.03686382920380711,0.05780861089687877,0.5666666666666667,newcombe_wilson_difference_in_proportions
GLMNET,8,30,13,17,0,2,0.06666666666666667,0.0,0.11764705882352941,0.11764705882352941,-0.19521560166581012,0.3433635080603935,0.015252756994813632,True,-0.10239430182871578,0.10239430182871578,0.03683674402886538,0.052089501023679,0.43333333333333335,newcombe_wilson_difference_in_proportions
GLMNET,9,30,10,20,0,2,0.06666666666666667,0.0,0.1,0.1,-0.2496663220643663,0.3010336471864123,0.00675386397459162,True,-0.09324613602540839,0.09324613602540839,0.03685176234961229,0.04360562632420389,0.3333333333333333,newcombe_wilson_difference_in_proportions
GLMNET,10,30,7,23,0,0,0.0,0.0,0.0,0.0,-0.35433043867586833,0.14311662038507353,-0.0038180339409178282,True,-0.0038180339409178282,0.0038180339409178282,0.0368078420000808,0.032989808059162976,0.23333333333333334,newcombe_wilson_difference_in_proportions
