variable,category,n,missing_count,missing_pct,unique_values,mode,mode_count,mode_pct,top_values
anxiety_flag,Clinical Conditions,1000,0,0.0,2,0,727,0.727,0 (727); 1 (273)
asthma_flag,Clinical Conditions,1000,0,0.0,2,0,832,0.832,0 (832); 1 (168)
behavioral_health_risk_flag,Clinical Conditions,1000,0,0.0,2,0,593,0.593,0 (593); 1 (407)
chf_flag,Clinical Conditions,1000,0,0.0,2,0,851,0.851,0 (851); 1 (149)
ckd_flag,Clinical Conditions,1000,0,0.0,2,0,847,0.847,0 (847); 1 (153)
copd_flag,Clinical Conditions,1000,0,0.0,2,0,826,0.826,0 (826); 1 (174)
depression_flag,Clinical Conditions,1000,0,0.0,2,0,713,0.713,0 (713); 1 (287)
diabetes_flag,Clinical Conditions,1000,0,0.0,2,0,686,0.686,0 (686); 1 (314)
pregnancy_flag,Clinical Conditions,1000,0,0.0,1,0,1000,1.0,0 (1000)
substance_use_flag,Clinical Conditions,1000,0,0.0,2,0,840,0.84,0 (840); 1 (160)
case_manager_name,Demographics,1000,0,0.0,15,CM_04,79,0.079,CM_04 (79); CM_12 (76); CM_01 (73); CM_08 (73); CM_03 (70)
client_contract,Demographics,1000,0,0.0,3,Contract_A,436,0.436,Contract_A (436); Contract_B (360); Contract_C (204)
county,Demographics,1000,0,0.0,6,County_E,180,0.18,County_E (180); County_C (171); County_A (170); County_D (167); County_B (161)
dual_eligible,Demographics,1000,0,0.0,2,0,717,0.717,0 (717); 1 (283)
gender,Demographics,1000,0,0.0,2,Female,550,0.55,Female (550); Male (450)
language,Demographics,1000,0,0.0,3,English,750,0.75,English (750); Spanish (194); Other (56)
living_alone_flag,Demographics,1000,0,0.0,2,0,751,0.751,0 (751); 1 (249)
plan_type,Demographics,1000,0,0.0,4,Medicaid,482,0.482,Medicaid (482); Medicare (233); Dual (201); Commercial (84)
program,Demographics,1000,0,0.0,3,CM,543,0.543,CM (543); BH_CM (254); Complex_CM (203)
service_region,Demographics,1000,0,0.0,5,East,208,0.208,East (208); North (206); South (205); West (196); Central (185)
high_cost_drug_flag,Pharmacy,1000,0,0.0,2,0,851,0.851,0 (851); 1 (149)
opioid_flag,Pharmacy,1000,0,0.0,2,0,865,0.865,0 (865); 1 (135)
polypharmacy_flag,Pharmacy,1000,0,0.0,2,0,914,0.914,0 (914); 1 (86)
risk_tier,Risk Scores,1000,0,0.0,4,Medium,720,0.72,Medium (720); Low (161); High (117); Very High (2)
food_insecurity_flag,SDOH,1000,0,0.0,2,0,777,0.777,0 (777); 1 (223)
housing_instability_flag,SDOH,1000,0,0.0,2,0,819,0.819,0 (819); 1 (181)
transportation_barrier_flag,SDOH,1000,0,0.0,2,0,754,0.754,0 (754); 1 (246)
utilities_insecurity_flag,SDOH,1000,0,0.0,2,0,832,0.832,0 (832); 1 (168)
