variable,category,n,missing_count,missing_pct,mean,median,std,min,p25,p75,max
age,Demographics,1000,0,0.0,57.354,57.0,14.77921205981933,18.0,48.0,68.0,90.0
med_adherence_pdc,Pharmacy,1000,0,0.0,0.757421,0.7775000000000001,0.1377611261818329,0.238,0.68,0.85725,0.997
rx_count_last_6m,Pharmacy,1000,0,0.0,6.2,6.0,3.5217044740299266,0.0,4.0,8.0,20.0
total_cost_last_6m,Pharmacy,1000,0,0.0,4102.29899,3658.57,1898.5964925118392,1092.95,2690.125,5134.615,12520.11
current_risk_score,Risk Scores,1000,0,0.0,43.6183,42.8,9.458609856126344,14.5,37.1,49.4,79.8
percolator_clinical_score,Risk Scores,1000,0,0.0,46.24,44.7,13.783830889632751,12.7,36.6,54.125,96.5
percolator_sdoh_score,Risk Scores,1000,0,0.0,35.5232,33.9,13.644978094053036,2.9,25.5,43.825,85.0
percolator_utilization_score,Risk Scores,1000,0,0.0,45.1728,44.0,12.878598466388276,13.9,36.4,52.4,100.0
admits_last_6m,Utilization,1000,0,0.0,0.339,0.0,0.613559659247131,0.0,0.0,1.0,4.0
ed_visits_last_30d,Utilization,1000,0,0.0,0.222,0.0,0.4742793912251944,0.0,0.0,0.0,2.0
ed_visits_last_6m,Utilization,1000,0,0.0,0.85,1.0,0.9604282494920808,0.0,0.0,1.0,5.0
observation_stays_last_6m,Utilization,1000,0,0.0,0.278,0.0,0.5468226540799266,0.0,0.0,0.0,4.0
pcp_visits_last_6m,Utilization,1000,0,0.0,3.269,3.0,1.8363036271300592,0.0,2.0,4.0,9.0
specialist_visits_last_6m,Utilization,1000,0,0.0,1.369,1.0,1.2026160173909566,0.0,0.0,2.0,7.0
