variable,category,data_type,model_ready_data_type,description,predictor_type,included_in_model,included_in_model_matrix,model_matrix_columns,missing_count,missing_pct,unique_values,example_values,min_value,max_value
anxiety_flag,Clinical Conditions,int64,float64,Indicator for anxiety diagnosis/history.,Binary indicator,True,True,anxiety_flag,0,0.0,2,0; 1,0.0,1.0
asthma_flag,Clinical Conditions,int64,float64,Indicator for asthma diagnosis/history.,Binary indicator,True,True,asthma_flag,0,0.0,2,1; 0,0.0,1.0
behavioral_health_risk_flag,Clinical Conditions,int64,float64,Indicator for behavioral health risk.,Binary indicator,True,True,behavioral_health_risk_flag,0,0.0,2,0; 1,0.0,1.0
chf_flag,Clinical Conditions,int64,float64,Indicator for congestive heart failure diagnosis/history.,Binary indicator,True,True,chf_flag,0,0.0,2,0; 1,0.0,1.0
ckd_flag,Clinical Conditions,int64,float64,Indicator for chronic kidney disease diagnosis/history.,Binary indicator,True,True,ckd_flag,0,0.0,2,0; 1,0.0,1.0
copd_flag,Clinical Conditions,int64,float64,Indicator for COPD diagnosis/history.,Binary indicator,True,True,copd_flag,0,0.0,2,0; 1,0.0,1.0
depression_flag,Clinical Conditions,int64,float64,Indicator for depression diagnosis/history.,Binary indicator,True,True,depression_flag,0,0.0,2,0; 1,0.0,1.0
diabetes_flag,Clinical Conditions,int64,float64,Indicator for diabetes diagnosis/history.,Binary indicator,True,True,diabetes_flag,0,0.0,2,0; 1,0.0,1.0
pregnancy_flag,Clinical Conditions,int64,int64,Indicator for pregnancy status/history.,Multi-level categorical,False,False,,0,0.0,1,0,0.0,0.0
substance_use_flag,Clinical Conditions,int64,float64,Indicator for substance use-related risk or diagnosis.,Binary indicator,True,True,substance_use_flag,0,0.0,2,0; 1,0.0,1.0
age,Demographics,int64,int64,Member age at the index point.,Continuous/count numeric,True,True,age,0,0.0,72,42; 73; 62; 35; 49,18.0,90.0
case_manager_name,Demographics,object,category,Assigned case manager identifier/name.,Multi-level categorical,True,True,case_manager_name_CM_01; case_manager_name_CM_02; case_manager_name_CM_03; case_manager_name_CM_04; case_manager_name_CM_05; case_manager_name_CM_06; case_manager_name_CM_07; case_manager_name_CM_08; case_manager_name_CM_09; case_manager_name_CM_10; case_manager_name_CM_11; case_manager_name_CM_12; case_manager_name_CM_13; case_manager_name_CM_14; case_manager_name_CM_15,0,0.0,15,CM_01; CM_02; CM_03; CM_05; CM_04,,
client_contract,Demographics,object,category,Client contract or line of business associated with the member.,Multi-level categorical,True,True,client_contract_Contract_A; client_contract_Contract_B; client_contract_Contract_C,0,0.0,3,Contract_B; Contract_A; Contract_C,,
county,Demographics,object,category,Member county of residence.,Multi-level categorical,True,True,county_County_A; county_County_B; county_County_C; county_County_D; county_County_E; county_County_F,0,0.0,6,County_C; County_A; County_D; County_E; County_F,,
dual_eligible,Demographics,int64,int64,Indicator or category for Medicare/Medicaid dual eligibility.,Binary indicator,True,True,dual_eligible,0,0.0,2,1; 0,0.0,1.0
gender,Demographics,object,category,Member gender category.,Multi-level categorical,True,True,gender_Female; gender_Male,0,0.0,2,Male; Female,,
language,Demographics,object,category,Preferred or primary language.,Multi-level categorical,True,True,language_English; language_Other; language_Spanish,0,0.0,3,Spanish; English; Other,,
living_alone_flag,Demographics,int64,float64,Indicator that the member lives alone.,Binary indicator,True,True,living_alone_flag,0,0.0,2,0; 1,0.0,1.0
plan_type,Demographics,object,category,Health plan product or plan type.,Multi-level categorical,True,True,plan_type_Commercial; plan_type_Dual; plan_type_Medicaid; plan_type_Medicare,0,0.0,4,Medicaid; Dual; Medicare; Commercial,,
program,Demographics,object,category,Care management program or operational program assignment.,Multi-level categorical,True,True,program_BH_CM; program_CM; program_Complex_CM,0,0.0,3,CM; BH_CM; Complex_CM,,
service_region,Demographics,object,category,Service region where the member receives care management support.,Multi-level categorical,True,True,service_region_Central; service_region_East; service_region_North; service_region_South; service_region_West,0,0.0,5,West; North; East; South; Central,,
high_cost_drug_flag,Pharmacy,int64,float64,Indicator for high-cost drug use.,Binary indicator,True,True,high_cost_drug_flag,0,0.0,2,0; 1,0.0,1.0
med_adherence_pdc,Pharmacy,float64,float64,Medication adherence proportion of days covered.,Continuous/count numeric,True,True,med_adherence_pdc,0,0.0,440,0.919; 0.54; 0.903; 0.573; 0.756,0.238,0.997
opioid_flag,Pharmacy,int64,float64,Indicator for opioid medication use.,Binary indicator,True,True,opioid_flag,0,0.0,2,0; 1,0.0,1.0
polypharmacy_flag,Pharmacy,int64,float64,Indicator for polypharmacy risk.,Binary indicator,True,True,polypharmacy_flag,0,0.0,2,0; 1,0.0,1.0
rx_count_last_6m,Pharmacy,int64,int64,Number of prescriptions or medication fills in the last 6 months.,Continuous/count numeric,True,True,rx_count_last_6m,0,0.0,21,2; 11; 3; 12; 1,0.0,20.0
total_cost_last_6m,Pharmacy,float64,float64,Total healthcare cost in the last 6 months.,Continuous/count numeric,True,True,total_cost_last_6m,0,0.0,1000,1830.87; 3589.8; 1708.79; 2878.61; 1783.76,1092.95,12520.11
current_risk_score,Risk Scores,float64,float64,Current overall risk score.,Continuous/count numeric,True,True,current_risk_score,0,0.0,352,42.7; 45.8; 45.0; 30.0; 38.0,14.5,79.8
