variable,category,visual_type,output_file
anxiety_flag,Clinical Conditions,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/anxiety_flag_histogram.png
asthma_flag,Clinical Conditions,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/asthma_flag_histogram.png
behavioral_health_risk_flag,Clinical Conditions,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/behavioral_health_risk_flag_histogram.png
chf_flag,Clinical Conditions,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/chf_flag_histogram.png
ckd_flag,Clinical Conditions,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/ckd_flag_histogram.png
copd_flag,Clinical Conditions,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/copd_flag_histogram.png
depression_flag,Clinical Conditions,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/depression_flag_histogram.png
diabetes_flag,Clinical Conditions,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/diabetes_flag_histogram.png
pregnancy_flag,Clinical Conditions,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/pregnancy_flag_histogram.png
substance_use_flag,Clinical Conditions,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/substance_use_flag_histogram.png
age,Demographics,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/age_histogram.png
dual_eligible,Demographics,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/dual_eligible_histogram.png
living_alone_flag,Demographics,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/living_alone_flag_histogram.png
high_cost_drug_flag,Pharmacy,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/high_cost_drug_flag_histogram.png
med_adherence_pdc,Pharmacy,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/med_adherence_pdc_histogram.png
opioid_flag,Pharmacy,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/opioid_flag_histogram.png
polypharmacy_flag,Pharmacy,numeric_histogram,/home/sagemaker-user/prism_repo/Outputs/Uplift/Python/Predictor_Distributions/Numeric/polypharmacy_flag_histogram.png
