model,group,pred_risk_decile,n,avg_predicted_ed_rate,observed_ed_rate,calibration_error,abs_calibration_error
GLMNET,Treated,1,12,0.04110992967282083,0.3333333333333333,0.29222340366051247,0.29222340366051247
GLMNET,Treated,2,12,0.040634479862542226,0.0,-0.040634479862542226,0.040634479862542226
GLMNET,Treated,3,12,0.0403325356827089,0.0,-0.0403325356827089,0.0403325356827089
GLMNET,Treated,4,12,0.04015866582198186,0.08333333333333333,0.04317466751135147,0.04317466751135147
GLMNET,Treated,5,11,0.040052720803096076,0.0,-0.040052720803096076,0.040052720803096076
GLMNET,Treated,6,12,0.039922724424635285,0.0,-0.039922724424635285,0.039922724424635285
GLMNET,Treated,7,12,0.03986743144644407,0.0,-0.03986743144644407,0.03986743144644407
GLMNET,Treated,8,12,0.039801270294101916,0.0,-0.039801270294101916,0.039801270294101916
GLMNET,Treated,9,12,0.03975120653029491,0.0,-0.03975120653029491,0.03975120653029491
GLMNET,Treated,10,11,0.03956231028719906,0.0,-0.03956231028719906,0.03956231028719906
GLMNET,Control,1,19,0.11958832751191839,0.15789473684210525,0.038306409330186864,0.038306409330186864
GLMNET,Control,2,18,0.09588017908051537,0.1111111111111111,0.015230932030595737,0.015230932030595737
GLMNET,Control,3,18,0.08435649465159865,0.05555555555555555,-0.0288009390960431,0.0288009390960431
GLMNET,Control,4,18,0.07625026671145695,0.1111111111111111,0.03486084439965416,0.03486084439965416
GLMNET,Control,5,18,0.07167974696770169,0.1111111111111111,0.03943136414340942,0.03943136414340942
GLMNET,Control,6,19,0.0666870777837127,0.05263157894736842,-0.014055498836344285,0.014055498836344285
GLMNET,Control,7,18,0.06241506535898327,0.0,-0.06241506535898327,0.06241506535898327
GLMNET,Control,8,18,0.05948547729812919,0.0,-0.05948547729812919,0.05948547729812919
GLMNET,Control,9,18,0.05505594461918256,0.05555555555555555,0.0004996109363729906,0.0004996109363729906
GLMNET,Control,10,18,0.050294433389080254,0.05555555555555555,0.005261122166475299,0.005261122166475299
