targeting_approach,through_decile,population_fraction_targeted,n,cumulative_estimated_ed_visits_avoided,cumulative_gross_savings
Uplift score,1,0.1,30,1.32065599595863,1584.787195150356
Uplift score,2,0.2,60,2.5287826723772593,3034.5392068527112
Uplift score,3,0.3,90,3.674097071079868,4408.916485295841
Uplift score,4,0.4,120,4.769645039314181,5723.574047177017
Uplift score,5,0.5,150,5.831808573642763,6998.170288371316
Uplift score,6,0.6,180,6.858976713244999,8230.772055893998
Uplift score,7,0.7,210,7.845432838380562,9414.519406056674
Uplift score,8,0.8,240,8.780105577793112,10536.126693351735
Uplift score,9,0.9,270,9.640114467934552,11568.137361521462
Uplift score,10,1.0,300,10.330819810080877,12396.983772097052
Current risk score,1,0.1,30,0.8160934990511065,979.3121988613278
Current risk score,2,0.2,60,1.8591066084155687,2230.9279300986823
Current risk score,3,0.3,90,2.924633927108637,3509.5607125303645
Current risk score,4,0.4,120,4.046791087044198,4856.149304453038
Current risk score,5,0.5,150,5.136831680145155,6164.198016174187
Current risk score,6,0.6,180,6.201077531960363,7441.293038352435
Current risk score,7,0.7,210,7.267358216785064,8720.829860142077
Current risk score,8,0.8,240,8.288598506516,9946.318207819199
Current risk score,9,0.9,270,9.303796408409372,11164.555690091247
Current risk score,10,1.0,300,10.330819810080875,12396.98377209705
