targeting_approach_model,through_decile,targeting_band,additional_members,additional_ed_visits_avoided_model,additional_gross_savings_model,targeting_approach_current_risk,additional_ed_visits_avoided_current_risk,additional_gross_savings_current_risk,additional_ed_visits_avoided_advantage,additional_gross_savings_advantage
T-learner benefit score,1,Top 0-10%,30,1.32065599595863,1584.787195150356,Current risk score,0.8160934990511065,979.3121988613278,0.5045624969075234,605.4749962890281
T-learner benefit score,2,Top 10-20%,30,1.2081266764186298,1449.7520117023553,Current risk score,1.043013109364462,1251.6157312373543,0.1651135670541679,198.13628046500094
T-learner benefit score,3,Top 20-30%,30,1.1453143987026082,1374.37727844313,Current risk score,1.0655273186930685,1278.6327824316822,0.07978708000953971,95.74449601144784
T-learner benefit score,4,Top 30-40%,30,1.095547968234313,1314.6575618811758,Current risk score,1.1221571599355613,1346.5885919226737,-0.026609191701248314,-31.931030041497934
T-learner benefit score,5,Top 40-50%,30,1.0621635343285822,1274.5962411942992,Current risk score,1.090040593100957,1308.0487117211487,-0.027877058772374674,-33.45247052684954
T-learner benefit score,6,Top 50-60%,30,1.027168139602236,1232.6017675226822,Current risk score,1.0755529484264237,1290.6635381117076,-0.04838480882418761,-58.0617705890254
T-learner benefit score,7,Top 60-70%,30,0.9864561251355628,1183.7473501626755,Current risk score,1.0549735882134854,1265.9683058561832,-0.06851746307792261,-82.22095569350768
T-learner benefit score,8,Top 70-80%,30,0.9346727394125498,1121.6072872950626,Current risk score,1.021240289730935,1225.4883476771229,-0.08656755031838514,-103.88106038206024
T-learner benefit score,9,Top 80-90%,30,0.8600088901414402,1032.0106681697252,Current risk score,1.015197901893373,1218.2374822720485,-0.15518901175193278,-186.22681410232326
T-learner benefit score,10,Top 90-100%,30,0.6907053421463232,828.8464105755902,Current risk score,1.027023401671503,1232.4280820058011,-0.3363180595251798,-403.5816714302109
