targeting_approach,through_decile,targeting_band,additional_members,additional_ed_visits_avoided,additional_gross_savings
Current risk score,1,Top 0-10%,30,0.8160934990511065,979.3121988613278
Current risk score,2,Top 10-20%,30,1.0430131093644621,1251.6157312373543
Current risk score,3,Top 20-30%,30,1.0655273186930683,1278.6327824316822
Current risk score,4,Top 30-40%,30,1.1221571599355613,1346.5885919226735
Current risk score,5,Top 40-50%,30,1.090040593100957,1308.0487117211487
Current risk score,6,Top 50-60%,30,1.0755529484264237,1290.6635381117076
Current risk score,7,Top 60-70%,30,1.0549735882134854,1265.9683058561832
Current risk score,8,Top 70-80%,30,1.021240289730935,1225.4883476771229
Current risk score,9,Top 80-90%,30,1.015197901893373,1218.2374822720485
Current risk score,10,Top 90-100%,30,1.027023401671503,1232.4280820058011
T-learner benefit score,1,Top 0-10%,30,1.32065599595863,1584.787195150356
T-learner benefit score,2,Top 10-20%,30,1.2081266764186298,1449.7520117023553
T-learner benefit score,3,Top 20-30%,30,1.1453143987026082,1374.3772784431299
T-learner benefit score,4,Top 30-40%,30,1.095547968234313,1314.6575618811758
T-learner benefit score,5,Top 40-50%,30,1.0621635343285822,1274.5962411942992
T-learner benefit score,6,Top 50-60%,30,1.027168139602236,1232.6017675226822
T-learner benefit score,7,Top 60-70%,30,0.9864561251355628,1183.7473501626755
T-learner benefit score,8,Top 70-80%,30,0.9346727394125498,1121.6072872950626
T-learner benefit score,9,Top 80-90%,30,0.8600088901414402,1032.0106681697252
T-learner benefit score,10,Top 90-100%,30,0.6907053421463232,828.8464105755902
