feature,mean_abs_benefit_contribution,mean_signed_benefit_contribution,pct_positive_benefit_contribution,control_coefficient,treated_coefficient,coefficient_difference,importance_type
admits_last_6m,0.08675528386925034,0.012826865277357167,0.29,0.10094185893029856,0.0017867571493614797,0.09915510178093707,glmnet_standardized_logit_contribution_difference
ed_visits_last_6m,0.07638944394281184,0.01560931567237773,0.5533333333333333,0.07705196917670692,0.0013576046394167523,0.07569436453729017,glmnet_standardized_logit_contribution_difference
percolator_clinical_score,0.0749572852043741,0.004754320665284211,0.4766666666666667,0.10009275053287563,0.000621472765101782,0.09947127776777384,glmnet_standardized_logit_contribution_difference
chf_flag,0.051345701044862045,0.004523027341423096,0.15,0.07314012647944378,0.0014950212674443048,0.07164510521199947,glmnet_standardized_logit_contribution_difference
current_risk_score,0.04961730306136495,0.007508107069840456,0.5133333333333333,0.06141730348867989,0.0019390164106265258,0.05947828707805336,glmnet_standardized_logit_contribution_difference
risk_tier_Very_High,0.0020442464555073896,-0.0020442464555073896,0.0,0.045768392101333495,0.0030030199967651565,0.042765372104568336,glmnet_standardized_logit_contribution_difference
total_cost_last_6m,0.0017053457420899368,-2.1234931966408055e-05,0.5633333333333334,0.0,0.0021736381222944544,-0.0021736381222944544,glmnet_standardized_logit_contribution_difference
percolator_utilization_score,0.0016543553351330278,0.00014199402715904606,0.5566666666666666,0.0,0.0023843902189768494,-0.0023843902189768494,glmnet_standardized_logit_contribution_difference
behavioral_health_risk_flag,0.0011791801037395282,0.00012552448972319197,0.6133333333333333,0.0,0.001203812341426302,-0.001203812341426302,glmnet_standardized_logit_contribution_difference
food_insecurity_flag,0.0010224530135596543,0.00017982575972920543,0.7866666666666666,0.0,0.0012284729871579012,-0.0012284729871579012,glmnet_standardized_logit_contribution_difference
risk_tier_High,0.000986186461122219,-4.032732740648474e-05,0.86,0.0,0.0014198824312942684,-0.0014198824312942684,glmnet_standardized_logit_contribution_difference
service_region_Central,0.0009686128703097428,-0.00018061467369269002,0.7833333333333333,0.0,0.001154958221135192,-0.001154958221135192,glmnet_standardized_logit_contribution_difference
risk_tier_Medium,0.0008873782839981688,-0.0001231063311252808,0.69,0.0,-0.0009500652336971633,0.0009500652336971633,glmnet_standardized_logit_contribution_difference
program_Complex_CM,0.0008547569268940086,2.705561198843875e-05,0.21333333333333335,0.0,-0.0010427260611519692,0.0010427260611519692,glmnet_standardized_logit_contribution_difference
county_County_E,0.0008218910551216635,-5.32045417325135e-05,0.8066666666666666,0.0,0.0010384174063406808,-0.0010384174063406808,glmnet_standardized_logit_contribution_difference
asthma_flag,0.000784542303597513,-9.414507643170165e-05,0.16666666666666666,0.0,-0.0010449679398392905,0.0010449679398392905,glmnet_standardized_logit_contribution_difference
ckd_flag,0.0007654061923211978,8.991877904059922e-05,0.8666666666666667,0.0,0.00111801799986535,-0.00111801799986535,glmnet_standardized_logit_contribution_difference
case_manager_name_CM_09,0.0007376445383923976,7.08768773544296e-05,0.9333333333333333,0.0,0.0014717372204985162,-0.0014717372204985162,glmnet_standardized_logit_contribution_difference
language_Spanish,0.0007204750895286162,9.146818607386184e-05,0.19666666666666666,0.0,-0.0008989743131806392,0.0008989743131806392,glmnet_standardized_logit_contribution_difference
client_contract_Contract_B,0.0006730404513487734,9.92234243913606e-05,0.69,0.0,0.0007196713066572642,-0.0007196713066572642,glmnet_standardized_logit_contribution_difference
county_County_B,0.0006613552776545164,1.4284131266836461e-06,0.16,0.0,-0.0009019951048188836,0.0009019951048188836,glmnet_standardized_logit_contribution_difference
client_contract_Contract_A,0.0006451222367122235,5.526924425633964e-05,0.47,0.0,-0.0006439104326401783,0.0006439104326401783,glmnet_standardized_logit_contribution_difference
diabetes_flag,0.0006168205731110774,-4.5048693541820246e-05,0.66,0.0,0.0006493159661954934,-0.0006493159661954934,glmnet_standardized_logit_contribution_difference
age,0.0006135576208775871,-2.402989970973532e-05,0.4866666666666667,0.0,0.0007535821315113821,-0.0007535821315113821,glmnet_standardized_logit_contribution_difference
risk_tier_Low,0.0005799347844236918,0.00011750643666925463,0.17,0.0,-0.0007559316482655583,0.0007559316482655583,glmnet_standardized_logit_contribution_difference
plan_type_Medicare,0.0005410254036692887,7.98670634175552e-06,0.7733333333333333,0.0,0.0006460455535710401,-0.0006460455535710401,glmnet_standardized_logit_contribution_difference
observation_stays_last_6m,0.0005371520188940157,3.314502203849161e-05,0.7966666666666666,0.0,0.000727166058425173,-0.000727166058425173,glmnet_standardized_logit_contribution_difference
program_BH_CM,0.0005294254485630246,-3.403158195151092e-05,0.7366666666666667,0.0,0.0005997735235581061,-0.0005997735235581061,glmnet_standardized_logit_contribution_difference
anxiety_flag,0.0005262559403327098,9.763062726884566e-05,0.7566666666666667,0.0,0.0006025715538836752,-0.0006025715538836752,glmnet_standardized_logit_contribution_difference
plan_type_Medicaid,0.0005022220699725233,-5.538142385071291e-06,0.48,0.0,-0.0005025937697008949,0.0005025937697008949,glmnet_standardized_logit_contribution_difference
ed_visits_last_30d,0.000494745274431308,-1.0590877434309323e-05,0.8,0.0,0.0005938576734833959,-0.0005938576734833959,glmnet_standardized_logit_contribution_difference
service_region_West,0.0004778229591778932,-0.00010548849130290391,0.15333333333333332,0.0,-0.0006467141400474461,0.0006467141400474461,glmnet_standardized_logit_contribution_difference
language_Other,0.00044079246587357937,6.418702731146842e-05,0.9533333333333334,0.0,0.0010337711059342702,-0.0010337711059342702,glmnet_standardized_logit_contribution_difference
copd_flag,0.0004142513179128401,-1.7869664694279436e-05,0.8133333333333334,0.0,0.0005310822447090032,-0.0005310822447090032,glmnet_standardized_logit_contribution_difference
case_manager_name_CM_02,0.00040717927921719957,1.836899003987359e-05,0.9266666666666666,0.0,0.0007801907726329462,-0.0007801907726329462,glmnet_standardized_logit_contribution_difference
case_manager_name_CM_04,0.00037866442912627544,-4.91599434304288e-05,0.08,0.0,-0.000691981563725623,0.000691981563725623,glmnet_standardized_logit_contribution_difference
county_County_D,0.0003660526890463882,-3.6296561040122264e-05,0.15666666666666668,0.0,-0.0005010488908574813,0.0005010488908574813,glmnet_standardized_logit_contribution_difference
specialist_visits_last_6m,0.0003542783196211479,3.145406235403148e-05,0.6433333333333333,0.0,0.0004520815731293872,-0.0004520815731293872,glmnet_standardized_logit_contribution_difference
program_CM,0.000329672876192674,2.2962449216062512e-05,0.4766666666666667,0.0,0.00032923090234915635,-0.00032923090234915635,glmnet_standardized_logit_contribution_difference
case_manager_name_CM_08,0.0002947283024855578,-5.487821623498874e-06,0.07,0.0,-0.0005774655152252597,0.0005774655152252597,glmnet_standardized_logit_contribution_difference
case_manager_name_CM_15,0.000282901087347897,-9.430036244929897e-05,0.9166666666666666,0.0,0.00048251771584282205,-0.00048251771584282205,glmnet_standardized_logit_contribution_difference
gender_Male,0.00028092245676038203,8.842528791928057e-06,0.44666666666666666,0.0,-0.0002823943611478624,0.0002823943611478624,glmnet_standardized_logit_contribution_difference
gender_Female,0.00028092245676038203,8.842528791928057e-06,0.44666666666666666,0.0,0.0002823943611478624,-0.0002823943611478624,glmnet_standardized_logit_contribution_difference
substance_use_flag,0.0002738099083692797,7.69281327431024e-06,0.16333333333333333,0.0,-0.0003701979797515745,0.0003701979797515745,glmnet_standardized_logit_contribution_difference
med_adherence_pdc,0.0002683832210274481,2.601535332702999e-05,0.5966666666666667,0.0,-0.00038368769584392633,0.00038368769584392633,glmnet_standardized_logit_contribution_difference
case_manager_name_CM_11,0.0002649195104369544,-5.833090138061381e-05,0.05,0.0,-0.000592851507787311,0.000592851507787311,glmnet_standardized_logit_contribution_difference
high_cost_drug_flag,0.0002593333665152429,7.702971282630952e-06,0.16,0.0,-0.00035353881469007514,0.00035353881469007514,glmnet_standardized_logit_contribution_difference
opioid_flag,0.00025180399174521567,1.4134095473545984e-05,0.16333333333333333,0.0,-0.0003400429044266434,0.0003400429044266434,glmnet_standardized_logit_contribution_difference
case_manager_name_CM_12,0.00024297967595131664,0.00010081071661809946,0.08333333333333333,0.0,-0.00039994858808836854,0.00039994858808836854,glmnet_standardized_logit_contribution_difference
case_manager_name_CM_05,0.00023962467972910232,-1.826831040288747e-05,0.05333333333333334,0.0,-0.0005316647633872107,0.0005316647633872107,glmnet_standardized_logit_contribution_difference
