feature,mean_abs_model_contribution,coefficient,model,importance_type
percolator_utilization_score,0.037784698756446564,0.04891183813990764,Treated Model,standardized_logit_contribution
total_cost_last_6m,0.03490879058752953,0.04249893707358407,Treated Model,standardized_logit_contribution
admits_last_6m,0.028959558271044492,0.035668805242366174,Treated Model,standardized_logit_contribution
current_risk_score,0.02727942853503664,0.033101448663009465,Treated Model,standardized_logit_contribution
behavioral_health_risk_flag,0.02496694797076455,0.025587336940871012,Treated Model,standardized_logit_contribution
chf_flag,0.022910858433195177,0.032081111353602636,Treated Model,standardized_logit_contribution
food_insecurity_flag,0.022602763621616773,0.027564853969349712,Treated Model,standardized_logit_contribution
ed_visits_last_6m,0.02200723078633502,0.02461339271754564,Treated Model,standardized_logit_contribution
service_region_Central,0.020065271645911983,0.024098249891510628,Treated Model,standardized_logit_contribution
county_County_E,0.019762172326654046,0.02497057004340351,Treated Model,standardized_logit_contribution
risk_tier_High,0.01901130450829022,0.027079395827731844,Treated Model,standardized_logit_contribution
asthma_flag,0.01850615014469229,-0.02482802740342707,Treated Model,standardized_logit_contribution
program_Complex_CM,0.018302118794658685,-0.022315372896113222,Treated Model,standardized_logit_contribution
case_manager_name_CM_09,0.018136412926210165,0.03618831961728713,Treated Model,standardized_logit_contribution
risk_tier_Medium,0.01511781188246734,-0.016254943578940542,Treated Model,standardized_logit_contribution
county_County_B,0.014771491083869047,-0.020145990149919944,Treated Model,standardized_logit_contribution
age,0.014594620252197625,0.01745229996294471,Treated Model,standardized_logit_contribution
ckd_flag,0.01428207985482277,0.0208758335435727,Treated Model,standardized_logit_contribution
client_contract_Contract_B,0.014065710615145874,0.015017801724835595,Treated Model,standardized_logit_contribution
language_Spanish,0.013904721941301898,-0.0174898871765656,Treated Model,standardized_logit_contribution
anxiety_flag,0.01216797973263792,0.014094699808755495,Treated Model,standardized_logit_contribution
client_contract_Contract_A,0.012040357289229791,-0.012003946535259245,Treated Model,standardized_logit_contribution
plan_type_Medicare,0.011955988613697715,0.014273734850177534,Treated Model,standardized_logit_contribution
case_manager_name_CM_02,0.010161986848210285,0.019403554038864936,Treated Model,standardized_logit_contribution
program_BH_CM,0.009997088075431817,0.01134200729763463,Treated Model,standardized_logit_contribution
language_Other,0.009874739203183717,0.023203700129067487,Treated Model,standardized_logit_contribution
service_region_West,0.009681537786904854,-0.013158407018541029,Treated Model,standardized_logit_contribution
diabetes_flag,0.00967562190885146,0.010175656678860045,Treated Model,standardized_logit_contribution
plan_type_Medicaid,0.00956331049206835,-0.009570813641991301,Treated Model,standardized_logit_contribution
risk_tier_Low,0.009319091661245005,-0.012390830812991466,Treated Model,standardized_logit_contribution
observation_stays_last_6m,0.008728400418176676,0.011731493536816812,Treated Model,standardized_logit_contribution
case_manager_name_CM_04,0.008314174376565994,-0.015322493125171355,Treated Model,standardized_logit_contribution
county_County_D,0.008263696447448812,-0.011350813193961607,Treated Model,standardized_logit_contribution
program_CM,0.008028459856706381,0.0080243951149936,Treated Model,standardized_logit_contribution
ed_visits_last_30d,0.007890651018792846,0.009772507249352762,Treated Model,standardized_logit_contribution
opioid_flag,0.007740880133690975,-0.010327370001919457,Treated Model,standardized_logit_contribution
specialist_visits_last_6m,0.006698890056257672,0.00865428318940172,Treated Model,standardized_logit_contribution
polypharmacy_flag,0.006509641485712957,-0.010965874795143217,Treated Model,standardized_logit_contribution
percolator_clinical_score,0.006232006248660097,0.008374389175375975,Treated Model,standardized_logit_contribution
case_manager_name_CM_08,0.00611444406949441,-0.011976057474439314,Treated Model,standardized_logit_contribution
high_cost_drug_flag,0.005889109497816803,-0.00801703252534587,Treated Model,standardized_logit_contribution
case_manager_name_CM_15,0.0058646544708887026,0.01033524350573322,Treated Model,standardized_logit_contribution
gender_Female,0.005843350962103156,0.0058766073777353454,Treated Model,standardized_logit_contribution
gender_Male,0.005843350962103156,-0.0058766073777353454,Treated Model,standardized_logit_contribution
substance_use_flag,0.005809754134582069,-0.007856816492242069,Treated Model,standardized_logit_contribution
case_manager_name_CM_05,0.005692568201638307,-0.012663813675931146,Treated Model,standardized_logit_contribution
case_manager_name_CM_11,0.005603764286539453,-0.012575224010745784,Treated Model,standardized_logit_contribution
copd_flag,0.0051617153446440025,0.00661093087527504,Treated Model,standardized_logit_contribution
med_adherence_pdc,0.005089742306522063,-0.006986306899782184,Treated Model,standardized_logit_contribution
plan_type_Dual,0.004978002801233557,-0.006336849465263819,Treated Model,standardized_logit_contribution
rx_count_last_6m,0.004784236424672201,-0.006139618799260828,Treated Model,standardized_logit_contribution
transportation_barrier_flag,0.004674724223924539,-0.005321150996322884,Treated Model,standardized_logit_contribution
depression_flag,0.004207309052835802,-0.004668004362822091,Treated Model,standardized_logit_contribution
case_manager_name_CM_06,0.0040329815148034565,-0.008469393081220708,Treated Model,standardized_logit_contribution
county_County_C,0.003948142103400756,0.00509221851791522,Treated Model,standardized_logit_contribution
case_manager_name_CM_07,0.003891803858010398,-0.00755711460123138,Treated Model,standardized_logit_contribution
service_region_South,0.0034455033014174023,-0.004381613273140883,Treated Model,standardized_logit_contribution
risk_tier_Very_High,0.0033357622182475246,0.062317180955688216,Treated Model,standardized_logit_contribution
service_region_East,0.0032398802842912465,-0.004024079874888876,Treated Model,standardized_logit_contribution
case_manager_name_CM_12,0.0032123776735279146,-0.005796020475391946,Treated Model,standardized_logit_contribution
plan_type_Commercial,0.003001941805346832,0.004860066948691856,Treated Model,standardized_logit_contribution
client_contract_Contract_C,0.0028542088551149385,-0.0034368087985290332,Treated Model,standardized_logit_contribution
language_English,0.0027452039600455525,0.0031977904887513027,Treated Model,standardized_logit_contribution
living_alone_flag,0.0025289304798240134,0.00279736892122749,Treated Model,standardized_logit_contribution
dual_eligible,0.002411837393826829,-0.0026469530118197588,Treated Model,standardized_logit_contribution
utilities_insecurity_flag,0.00214484294305532,-0.002786319778189359,Treated Model,standardized_logit_contribution
case_manager_name_CM_01,0.002087001217649363,0.004260360907789361,Treated Model,standardized_logit_contribution
case_manager_name_CM_14,0.0020484080440982544,0.004105482101987469,Treated Model,standardized_logit_contribution
pcp_visits_last_6m,0.002004843260273675,-0.002413124668581183,Treated Model,standardized_logit_contribution
case_manager_name_CM_10,0.0018430546995749724,0.0036942185210461476,Treated Model,standardized_logit_contribution
percolator_sdoh_score,0.00175678313867226,0.0022026060795993837,Treated Model,standardized_logit_contribution
county_County_A,0.001693714269278286,0.002341614499758284,Treated Model,standardized_logit_contribution
case_manager_name_CM_13,0.0015895879517891366,0.003519840739461229,Treated Model,standardized_logit_contribution
housing_instability_flag,0.001478555700895108,-0.0019379690589613383,Treated Model,standardized_logit_contribution
county_County_F,0.001150360419986585,-0.001596220843205186,Treated Model,standardized_logit_contribution
case_manager_name_CM_03,0.000782942885727129,-0.0016376558555679804,Treated Model,standardized_logit_contribution
service_region_North,0.0005537329869497028,-0.0006459084174006101,Treated Model,standardized_logit_contribution
current_risk_score,0.03271415763590647,0.03969606651208767,Control Model,standardized_logit_contribution
percolator_clinical_score,0.032144018172432766,0.04319419896188096,Control Model,standardized_logit_contribution
admits_last_6m,0.023512697442288785,0.02896003516152497,Control Model,standardized_logit_contribution
chf_flag,0.020165623290925035,0.028237074058021082,Control Model,standardized_logit_contribution
ed_visits_last_6m,0.0172450820203943,0.01928729608623956,Control Model,standardized_logit_contribution
risk_tier_Very_High,0.0016771274363040882,0.03133132612456373,Control Model,standardized_logit_contribution
percolator_utilization_score,0.0008728617420151589,0.0011299090279680804,Control Model,standardized_logit_contribution
risk_tier_High,0.00025480924852126487,0.00036294618805697007,Control Model,standardized_logit_contribution
language_Spanish,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_14,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_12,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_11,0.0,0.0,Control Model,standardized_logit_contribution
risk_tier_Low,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_10,0.0,0.0,Control Model,standardized_logit_contribution
risk_tier_Medium,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_09,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_08,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_07,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_06,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_05,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_04,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_03,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_02,0.0,0.0,Control Model,standardized_logit_contribution
case_manager_name_CM_13,0.0,0.0,Control Model,standardized_logit_contribution
