model,through_uplift_decile,population_fraction_targeted,n,treated_n,control_n,treated_events,control_events,avg_predicted_benefit,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,predicted_benefit_within_observed_gap_ci_95
GLMNET,1,0.1,30,15,15,4,3,0.08269089030993505,-0.06666666666666665,-0.449028849598181,0.3428799567443793,True
GLMNET,2,0.2,60,26,34,5,5,0.07016174398322414,-0.04524886877828055,-0.31426815878045283,0.21620995542705118,True
GLMNET,3,0.3,90,41,49,5,6,0.062135701077797395,0.0004977600796416126,-0.19809385891347386,0.18921060972663212,True
GLMNET,4,0.4,120,53,67,5,8,0.05615783253472165,0.025063362433117423,-0.14077494981038852,0.17734761807526464,True
GLMNET,5,0.5,150,61,89,5,10,0.05137120877850767,0.030392337447043657,-0.11575918591007887,0.15909054733072442,True
GLMNET,6,0.6,180,77,103,5,11,0.047500379236294764,0.041861051569789434,-0.08247691322116524,0.15312691608096612,True
GLMNET,7,0.7,210,89,121,5,11,0.044146424640934594,0.03472931562819204,-0.0733329335443654,0.13124009501395295,True
GLMNET,8,0.8,240,98,142,5,11,0.04118574866346259,0.026444380569129053,-0.07012108316146148,0.11139795736115984,True
GLMNET,9,0.9,270,111,159,5,11,0.038455108703541095,0.024137344892061874,-0.06206855156529895,0.10023278671884912,True
GLMNET,10,1.0,300,118,182,5,13,0.03577071645952889,0.029055690072639223,-0.05315414091713644,0.10012675227163823,True
