uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,30,0.044021866531954376,0.06666666666666667,0.36666666666666664,0.0357104111672907,0.07973227769924507
2,30,0.040270889213954365,0.0,0.43333333333333335,0.03452300470747256,0.07479389392142693
3,30,0.03817714662342033,0.0,0.36666666666666664,0.033556318003714634,0.07173346462713497
4,30,0.036518265607810484,0.03333333333333333,0.36666666666666664,0.033323308038550256,0.06984157364636073
5,30,0.03540545114428609,0.06666666666666667,0.4,0.03668449191682584,0.07208994306111192
6,30,0.03423893798674128,0.03333333333333333,0.3333333333333333,0.03763728281152666,0.07187622079826794
7,30,0.03288187083785215,0.06666666666666667,0.5666666666666667,0.03784725280638796,0.0707291236442401
8,30,0.031155757980418346,0.13333333333333333,0.4,0.04113181503683529,0.07228757301725364
9,30,0.028666963004714743,0.0,0.3333333333333333,0.04419478868602736,0.0728617516907421
10,30,0.023023511404877513,0.2,0.36666666666666664,0.058430173575032746,0.08145368497991026
