model,uplift_decile,n,treated_n,control_n,treated_events,control_events,observed_ed_rate,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,avg_predicted_benefit,predicted_benefit_within_observed_gap_ci_95,predicted_minus_observed_gap,abs_predicted_minus_observed_gap,avg_pred_ed_if_treated,avg_pred_ed_if_control,treated_pct,ci_method
GLMNET,1,30,15,15,4,3,0.23333333333333334,0.26666666666666666,0.2,-0.06666666666666665,-0.449028849598181,0.3428799567443793,0.08269089030993505,True,0.1493575569766017,0.1493575569766017,0.04089785653130156,0.12358874684123662,0.5,newcombe_wilson_difference_in_proportions
GLMNET,2,30,11,19,1,2,0.1,0.09090909090909091,0.10526315789473684,0.014354066985645925,-0.3479998790750991,0.29770865641376465,0.05763259765651322,True,0.043278530670867295,0.043278530670867295,0.04059276616666769,0.09822536382318092,0.36666666666666664,newcombe_wilson_difference_in_proportions
GLMNET,3,30,15,15,0,1,0.03333333333333333,0.0,0.06666666666666667,0.06666666666666667,-0.19201640823495475,0.2981653010887565,0.04608361526694389,True,-0.020583051399722774,0.020583051399722774,0.04022648964789908,0.08631010491484296,0.5,newcombe_wilson_difference_in_proportions
GLMNET,4,30,12,18,0,2,0.06666666666666667,0.0,0.1111111111111111,0.1111111111111111,-0.2114744871883069,0.32799765336109676,0.038224226905494416,True,-0.07288688420561669,0.07288688420561669,0.04013097152716975,0.07835519843266416,0.4,newcombe_wilson_difference_in_proportions
GLMNET,5,30,8,22,0,2,0.06666666666666667,0.0,0.09090909090909091,0.09090909090909091,-0.29911213957908495,0.278149470278251,0.032224713753651775,True,-0.05868437715543914,0.05868437715543914,0.03996262856752391,0.07218734232117571,0.26666666666666666,newcombe_wilson_difference_in_proportions
GLMNET,6,30,16,14,0,1,0.03333333333333333,0.0,0.07142857142857142,0.07142857142857142,-0.18088546789080076,0.31468704666737907,0.02814623152523024,True,-0.04328233990334118,0.04328233990334118,0.03998180861088442,0.06812804013611465,0.5333333333333333,newcombe_wilson_difference_in_proportions
GLMNET,7,30,12,18,0,0,0.0,0.0,0.0,0.0,-0.2424940095530979,0.17587922593328437,0.024022697068773576,True,0.024022697068773576,0.024022697068773576,0.039859249925784296,0.06388194699455788,0.4,newcombe_wilson_difference_in_proportions
GLMNET,8,30,9,21,0,0,0.0,0.0,0.0,0.0,-0.299145051727044,0.15463902098714374,0.020461016821158567,True,0.020461016821158567,0.020461016821158567,0.03983021052947715,0.06029122735063572,0.3,newcombe_wilson_difference_in_proportions
GLMNET,9,30,13,17,0,0,0.0,0.0,0.0,0.0,-0.22809537513180025,0.18431813738065556,0.01660998902416916,True,0.01660998902416916,0.01660998902416916,0.03965702767421335,0.05626701669838249,0.43333333333333335,newcombe_wilson_difference_in_proportions
GLMNET,10,30,7,23,0,2,0.06666666666666667,0.0,0.08695652173913043,0.08695652173913043,-0.33015043441017655,0.2679598125741516,0.011611186263418952,True,-0.07534533547571148,0.07534533547571148,0.03960652381008078,0.05121771007349972,0.23333333333333334,newcombe_wilson_difference_in_proportions
