uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control,expected_ed_rate_reduction,expected_ed_visits_avoided,gross_savings,intervention_cost,net_savings,roi
1,30,0.044021866531954376,0.06666666666666667,0.36666666666666664,0.0357104111672907,0.07973227769924507,0.044021866531954376,1.3206559959586313,1584.7871951503575,7500,-5915.212804849642,-0.788695040646619
2,30,0.040270889213954365,0.0,0.43333333333333335,0.03452300470747256,0.07479389392142693,0.040270889213954365,1.208126676418631,1449.752011702357,7500,-6050.247988297643,-0.8066997317730191
3,30,0.03817714662342033,0.0,0.36666666666666664,0.033556318003714634,0.07173346462713497,0.03817714662342033,1.14531439870261,1374.377278443132,7500,-6125.622721556868,-0.8167496962075824
4,30,0.036518265607810484,0.03333333333333333,0.36666666666666664,0.033323308038550256,0.06984157364636073,0.036518265607810484,1.0955479682343146,1314.6575618811776,7500,-6185.342438118822,-0.8247123250825097
5,30,0.03540545114428609,0.06666666666666667,0.4,0.03668449191682584,0.07208994306111192,0.03540545114428609,1.0621635343285827,1274.5962411942992,7500,-6225.403758805701,-0.8300538345074268
6,30,0.03423893798674128,0.03333333333333333,0.3333333333333333,0.03763728281152666,0.07187622079826794,0.03423893798674128,1.0271681396022385,1232.6017675226863,7500,-6267.398232477313,-0.8356530976636418
7,30,0.03288187083785215,0.06666666666666667,0.5666666666666667,0.03784725280638796,0.0707291236442401,0.03288187083785215,0.9864561251355645,1183.7473501626773,7500,-6316.252649837323,-0.8421670199783097
8,30,0.031155757980418346,0.13333333333333333,0.4,0.04113181503683529,0.07228757301725364,0.031155757980418346,0.9346727394125504,1121.6072872950604,7500,-6378.392712704939,-0.8504523616939919
9,30,0.028666963004714743,0.0,0.3333333333333333,0.04419478868602736,0.0728617516907421,0.028666963004714743,0.8600088901414423,1032.0106681697307,7500,-6467.989331830269,-0.8623985775773693
10,30,0.023023511404877513,0.2,0.36666666666666664,0.058430173575032746,0.08145368497991026,0.023023511404877513,0.6907053421463254,828.8464105755904,7500,-6671.15358942441,-0.889487145256588
