feature,mean_abs_benefit_shap,mean_signed_benefit_shap,pct_positive_benefit_shap,importance_type
percolator_clinical_score,0.13373032,-0.0024231516,0.21333333333333335,xgboost_raw_margin_shap_difference
current_risk_score,0.05461251,0.0037370312,0.39,xgboost_raw_margin_shap_difference
age,0.03376498,-0.0019459978,0.2,xgboost_raw_margin_shap_difference
county_County_E,0.031976476,-0.00034873257,0.8066666666666666,xgboost_raw_margin_shap_difference
pcp_visits_last_6m,0.030351747,-0.0022698992,0.36666666666666664,xgboost_raw_margin_shap_difference
percolator_sdoh_score,0.021473572,-0.00048575355,0.24333333333333335,xgboost_raw_margin_shap_difference
language_English,0.021011516,-0.002309078,0.24333333333333335,xgboost_raw_margin_shap_difference
percolator_utilization_score,0.02040082,0.0042401943,0.21666666666666667,xgboost_raw_margin_shap_difference
behavioral_health_risk_flag,0.019603118,-0.0014348918,0.38666666666666666,xgboost_raw_margin_shap_difference
case_manager_name_CM_09,0.018550225,0.0020897666,0.9333333333333333,xgboost_raw_margin_shap_difference
med_adherence_pdc,0.01778548,0.00040128102,0.36333333333333334,xgboost_raw_margin_shap_difference
chf_flag,0.01346356,0.0019041356,0.85,xgboost_raw_margin_shap_difference
risk_tier_Medium,0.010769868,0.00013611761,0.31,xgboost_raw_margin_shap_difference
depression_flag,0.010667618,-0.0005377626,0.29333333333333333,xgboost_raw_margin_shap_difference
total_cost_last_6m,0.010427295,0.00010716539,0.33666666666666667,xgboost_raw_margin_shap_difference
ed_visits_last_6m,0.009232598,0.00026605895,0.5533333333333333,xgboost_raw_margin_shap_difference
specialist_visits_last_6m,0.008508392,-0.0017828626,0.26666666666666666,xgboost_raw_margin_shap_difference
county_County_B,0.0068777213,-0.0006240846,0.16,xgboost_raw_margin_shap_difference
admits_last_6m,0.0046607577,0.00023976425,0.9433333333333334,xgboost_raw_margin_shap_difference
gender_Female,0.0045971377,-0.0002946185,0.44666666666666666,xgboost_raw_margin_shap_difference
rx_count_last_6m,0.004169449,-0.0013372841,0.30666666666666664,xgboost_raw_margin_shap_difference
ed_visits_last_30d,0.0027927945,0.0006776045,0.8,xgboost_raw_margin_shap_difference
