model,through_uplift_decile,population_fraction_targeted,n,treated_n,control_n,treated_events,control_events,avg_predicted_benefit,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,predicted_benefit_within_observed_gap_ci_95
XGBoost,1,0.1,30,9,21,1,2,0.048250962,-0.015873015873015872,-0.4084809411725211,0.2692505052315557,True
XGBoost,2,0.2,60,25,35,4,3,0.037707623,-0.07428571428571429,-0.31695384971973956,0.15975822693352015,True
XGBoost,3,0.3,90,37,53,4,3,0.028050285,-0.05150433452320245,-0.22764865545927243,0.11085018502859136,True
XGBoost,4,0.4,120,45,75,4,4,0.020377824,-0.035555555555555556,-0.18640232692570563,0.0941487558543274,True
XGBoost,5,0.5,150,55,95,4,7,0.0148941865,0.0009569377990430589,-0.13645043233164253,0.11571279354838833,True
XGBoost,6,0.6,180,71,109,4,9,0.010669196,0.02623077917043546,-0.09204934850840271,0.12738758390677285,True
XGBoost,7,0.7,210,85,125,5,10,0.007110686,0.021176470588235297,-0.08638135312151968,0.11562673910216731,True
XGBoost,8,0.8,240,95,145,5,10,0.0038704346,0.01633393829401089,-0.079459908741465,0.09960316241013234,True
XGBoost,9,0.9,270,104,166,5,10,0.0007255551,0.012164040778498607,-0.07459459112795061,0.08661930891238222,True
XGBoost,10,1.0,300,118,182,5,13,-0.00269496,0.029055690072639223,-0.05315414091713644,0.10012675227163823,True
