uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,30,0.04825096,0.1,0.3,0.12007386,0.16832481
2,30,0.027164292,0.13333333333333333,0.5333333333333333,0.11901585,0.14618015
3,30,0.008735599,0.0,0.4,0.11418143,0.12291703
4,30,-0.0026395405,0.03333333333333333,0.26666666666666666,0.11346149,0.11082195
5,30,-0.0070403647,0.1,0.3333333333333333,0.112870365,0.10583
6,30,-0.010455764,0.06666666666666667,0.5333333333333333,0.11280868,0.102352925
7,30,-0.014240378,0.06666666666666667,0.4666666666666667,0.11440995,0.10016958
8,30,-0.018811325,0.0,0.3333333333333333,0.113317795,0.09450647
9,30,-0.024433482,0.0,0.3,0.11871432,0.09428084
10,30,-0.033479597,0.1,0.4666666666666667,0.12504289,0.09156328
