model,uplift_decile,n,treated_n,control_n,treated_events,control_events,observed_ed_rate,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,observed_gap_ci_lower_95,observed_gap_ci_upper_95,avg_predicted_benefit,predicted_benefit_within_observed_gap_ci_95,predicted_minus_observed_gap,abs_predicted_minus_observed_gap,avg_pred_ed_if_treated,avg_pred_ed_if_control,treated_pct,ci_method
XGBoost,1,30,9,21,1,2,0.1,0.1111111111111111,0.09523809523809523,-0.015873015873015872,-0.4084809411725211,0.2692505052315557,0.048250962,True,0.06412397792178487,0.06412397792178487,0.12007386,0.16832481,0.3,newcombe_wilson_difference_in_proportions
XGBoost,2,30,16,14,3,1,0.13333333333333333,0.1875,0.07142857142857142,-0.11607142857142858,-0.417366596568887,0.24877105646949224,0.02716429,True,0.14323571829923562,0.14323571829923562,0.11901586,0.14618015,0.5333333333333333,newcombe_wilson_difference_in_proportions
XGBoost,3,30,12,18,0,0,0.0,0.0,0.0,0.0,-0.2424940095530979,0.17587922593328437,0.008735599,True,0.008735598996281624,0.008735598996281624,0.11418142,0.12291704,0.4,newcombe_wilson_difference_in_proportions
XGBoost,4,30,8,22,0,1,0.03333333333333333,0.0,0.045454545454545456,0.045454545454545456,-0.31633814080956857,0.21798046029102053,-0.0026395405,True,-0.048094085925682026,0.048094085925682026,0.11346148,0.11082194,0.26666666666666666,newcombe_wilson_difference_in_proportions
XGBoost,5,30,10,20,0,3,0.1,0.0,0.15,0.15,-0.22516405753933122,0.36041886664286427,-0.007040365,True,-0.15704036513343453,0.15704036513343453,0.11287037,0.10582999,0.3333333333333333,newcombe_wilson_difference_in_proportions
XGBoost,6,30,16,14,0,2,0.06666666666666667,0.0,0.14285714285714285,0.14285714285714285,-0.15351376208975598,0.39941379723733705,-0.010455764,True,-0.15331290675593273,0.15331290675593273,0.112808675,0.102352925,0.5333333333333333,newcombe_wilson_difference_in_proportions
XGBoost,7,30,14,16,1,1,0.06666666666666667,0.07142857142857142,0.0625,-0.008928571428571425,-0.30356770202613176,0.27056516287487786,-0.014240376,True,-0.00531180429139308,0.00531180429139308,0.11440994,0.10016956,0.4666666666666667,newcombe_wilson_difference_in_proportions
XGBoost,8,30,10,20,0,0,0.0,0.0,0.0,0.0,-0.2775328030260577,0.16112516018512965,-0.018811325,True,-0.01881132461130619,0.01881132461130619,0.113317795,0.09450647,0.3333333333333333,newcombe_wilson_difference_in_proportions
XGBoost,9,30,9,21,0,0,0.0,0.0,0.0,0.0,-0.299145051727044,0.15463902098714374,-0.024433482,True,-0.024433482438325882,0.024433482438325882,0.11871432,0.09428083,0.3,newcombe_wilson_difference_in_proportions
XGBoost,10,30,14,16,0,3,0.1,0.0,0.1875,0.1875,-0.1493948152050936,0.4300888116754912,-0.033479594,True,-0.22097959369421005,0.22097959369421005,0.1250429,0.09156329,0.4666666666666667,newcombe_wilson_difference_in_proportions
