targeting_approach,through_decile,population_fraction_targeted,n,cumulative_estimated_ed_visits_avoided,cumulative_gross_savings
Uplift score,1,0.1,30,2.0866222246340254,2503.9466695608303
Uplift score,2,0.2,60,3.592732654901331,4311.279185881597
Uplift score,3,0.3,90,4.933418902636802,5920.102683164163
Uplift score,4,0.4,120,6.166782870234527,7400.139444281432
Uplift score,5,0.5,150,7.288375890202258,8746.05106824271
Uplift score,6,0.6,180,8.3319928703479,9998.39144441748
Uplift score,7,0.7,210,9.294933928073714,11153.920713688458
Uplift score,8,0.8,240,10.149404627080157,12179.285552496189
Uplift score,9,0.9,270,10.865443509155732,13038.532210986878
Uplift score,10,1.0,300,11.314230516643944,13577.076619972733
Current risk score,1,0.1,30,1.9071323943091525,2288.558873170983
Current risk score,2,0.2,60,3.199912072884946,3839.894487461935
Current risk score,3,0.3,90,4.32458124422991,5189.497493075893
Current risk score,4,0.4,120,5.327024145976237,6392.428975171484
Current risk score,5,0.5,150,6.333956225546515,7600.747470655819
Current risk score,6,0.6,180,7.280762471477295,8736.914965772754
Current risk score,7,0.7,210,8.292522121264792,9951.02654551775
Current risk score,8,0.8,240,9.277507370420185,11133.008844504222
Current risk score,9,0.9,270,10.297613670737473,12357.136404884968
Current risk score,10,1.0,300,11.314230516643942,13577.076619972731
