feature,mean_abs_benefit_shap,mean_signed_benefit_shap,mean_positive_benefit_shap,mean_negative_benefit_shap,pct_positive_benefit_shap,pct_negative_benefit_shap,importance_type
anxiety_flag,0.0021589118774688345,0.0002144587890079823,0.001186685333238408,-0.0009722265442304257,0.7566666666666667,0.24333333333333335,glmnet_xlearner_final_benefit_score_permutation_shap
program_Complex_CM,0.0021456318754127226,-0.00043096439968541344,0.0008573337378636548,-0.0012882981375490676,0.21333333333333335,0.7866666666666666,glmnet_xlearner_final_benefit_score_permutation_shap
admits_last_6m,0.0019897960030347086,-0.0001984319417477271,0.0008956820306434905,-0.0010941139723912173,0.29,0.71,glmnet_xlearner_final_benefit_score_permutation_shap
case_manager_name_CM_04,0.0018566456711272901,-0.0006512655459629114,0.0006026900625821896,-0.0012539556085451016,0.08,0.92,glmnet_xlearner_final_benefit_score_permutation_shap
ed_visits_last_6m,0.0017938771344824652,0.00019398274406124663,0.0009939299392718562,-0.0007999471952106095,0.2866666666666667,0.7133333333333334,glmnet_xlearner_final_benefit_score_permutation_shap
chf_flag,0.0016765378103730214,-0.0002952338954350092,0.0006906519574690061,-0.0009858858529040151,0.15,0.85,glmnet_xlearner_final_benefit_score_permutation_shap
percolator_clinical_score,0.00165785260568687,-8.106309721153904e-05,0.000788394754237666,-0.0008694578514492052,0.41,0.59,glmnet_xlearner_final_benefit_score_permutation_shap
pcp_visits_last_6m,0.0016237078864907353,-0.0002189382691995052,0.000702384808645615,-0.0009213230778451206,0.5333333333333333,0.4666666666666667,glmnet_xlearner_final_benefit_score_permutation_shap
program_CM,0.0015418623536188564,-4.1015337342366016e-05,0.0007504235081382452,-0.0007914388454806113,0.4766666666666667,0.5233333333333333,glmnet_xlearner_final_benefit_score_permutation_shap
county_County_E,0.0014890806666992198,-0.00023175283633096775,0.0006286639151841259,-0.0008604167515150937,0.8066666666666666,0.19333333333333333,glmnet_xlearner_final_benefit_score_permutation_shap
substance_use_flag,0.0014224903951322498,9.234693729423768e-05,0.0007574186662132442,-0.0006650717289190057,0.8366666666666667,0.16333333333333333,glmnet_xlearner_final_benefit_score_permutation_shap
plan_type_Medicare,0.0013234404964119464,-0.0002538957135633465,0.0005347723914243002,-0.0007886681049876471,0.7733333333333333,0.22666666666666666,glmnet_xlearner_final_benefit_score_permutation_shap
