decile,uplift_marginal_gross_savings,risk_marginal_gross_savings,marginal_advantage
1,2503.9466695608303,2288.558873170983,215.38779638984715
2,1807.332516320767,1551.335614290952,255.99690202981492
3,1608.8234972825658,1349.6030056139575,259.22049166860825
4,1480.0367611172687,1202.9314820955915,277.10527902167723
5,1345.9116239612786,1208.3184954843346,137.593128476944
6,1252.3403761747704,1136.1674951169352,116.17288105783518
7,1155.5292692709772,1214.1115797449966,-58.58231047401932
8,1025.3648388077308,1181.9822989864715,-156.61746017874066
9,859.2466584906888,1224.1275603807462,-364.88090189005743
10,538.5444089858556,1219.9402150877631,-681.3958061019075
