targeting_approach,decile,marginal_gross_savings,cumulative_gross_savings
Uplift score,1,2503.9466695608303,2503.9466695608303
Uplift score,2,1807.332516320767,4311.279185881597
Uplift score,3,1608.8234972825658,5920.102683164163
Uplift score,4,1480.0367611172687,7400.139444281432
Uplift score,5,1345.9116239612786,8746.05106824271
Uplift score,6,1252.3403761747704,9998.39144441748
Uplift score,7,1155.5292692709772,11153.920713688458
Uplift score,8,1025.3648388077308,12179.285552496189
Uplift score,9,859.2466584906888,13038.532210986878
Uplift score,10,538.5444089858556,13577.076619972733
Current risk score,1,2288.558873170983,2288.558873170983
Current risk score,2,1551.335614290952,3839.894487461935
Current risk score,3,1349.6030056139575,5189.497493075893
Current risk score,4,1202.9314820955915,6392.428975171484
Current risk score,5,1208.3184954843346,7600.747470655819
Current risk score,6,1136.1674951169352,8736.914965772754
Current risk score,7,1214.1115797449966,9951.02654551775
Current risk score,8,1181.9822989864715,11133.008844504222
Current risk score,9,1224.1275603807462,12357.136404884968
Current risk score,10,1219.9402150877631,13577.076619972731
