feature,mean_abs_xlearner_benefit_contribution,mean_signed_xlearner_benefit_contribution,pct_positive_xlearner_benefit_contribution,treated_effect_coefficient,control_effect_coefficient,avg_treated_effect_weight,avg_control_effect_weight,importance_type
admits_last_6m,0.0027567383427138294,0.0006632620725889216,0.29,-0.0,0.0073252315109042015,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
ed_visits_last_6m,0.0025876727426843785,0.00087527501232134,0.5533333333333333,-0.0,0.005812704934168508,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
chf_flag,0.0019815084511660844,0.00024382560103802326,0.15,-0.0,0.0066577766173697645,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
anxiety_flag,0.0018938391508202675,6.769399263726037e-05,0.7566666666666667,-0.0,-0.005425537847095431,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
percolator_clinical_score,0.0018559116268912076,0.00029449712911707105,0.4766666666666667,0.0,0.005948997803793776,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
current_risk_score,0.0018221698460745808,0.000560381189798593,0.51,-0.0,0.0051690277543587635,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
pcp_visits_last_6m,0.0015824668286904926,-0.0004096239165069508,0.5333333333333333,0.0,-0.004862485673178132,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
behavioral_health_risk_flag,0.0015658394126057526,-1.5405837617164704e-05,0.38666666666666666,-0.0,0.003976273238946295,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
opioid_flag,0.001497252392941866,-0.00041198597117574927,0.8366666666666667,0.0,-0.004729243939101632,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
program_Complex_CM,0.0014474284135090423,6.129716628627637e-05,0.21333333333333335,0.0,0.004414356864644336,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
specialist_visits_last_6m,0.0014129243854548855,-0.00018196349310517336,0.3566666666666667,-0.0,0.004465829038223755,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
substance_use_flag,0.0014012955946854043,-8.196331967893481e-05,0.8366666666666667,0.0,-0.004554790197358703,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
transportation_barrier_flag,0.0013509156554430935,-0.00033398062879861067,0.74,0.0,-0.003549386283954257,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
percolator_utilization_score,0.0013393729690607014,0.00040455193729607323,0.5166666666666667,-0.0,0.0036591588144248804,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
program_CM,0.0013380266728825526,7.176067539768861e-06,0.4766666666666667,-0.0,-0.003337144397186875,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
total_cost_last_6m,0.0013094037080593568,0.0004158673969943846,0.4766666666666667,-0.0,0.0035295622918491763,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
copd_flag,0.001295495341673397,0.00014308068111087136,0.18666666666666668,0.0,0.004013576370908355,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
dual_eligible,0.001196853821641666,-0.00014968488456463592,0.7066666666666667,0.0,-0.0032026738323606336,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
risk_tier_Medium,0.0011949907568145459,0.00011542981143011816,0.31,0.0,-0.003176943316515419,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
risk_tier_High,0.001188129421142181,0.00044115731608711223,0.14,-0.0,0.003559259379362258,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
plan_type_Medicare,0.0011820843410601555,5.075816643839655e-05,0.7733333333333333,-0.0,-0.0035242525709650654,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
utilities_insecurity_flag,0.001178793486011264,-0.00010968397956642767,0.82,0.0,-0.0037799634667896233,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_standardized_effect_contribution
