feature,mean_abs_xlearner_benefit_contribution,mean_signed_xlearner_benefit_contribution,pct_positive_xlearner_benefit_contribution,treated_effect_coefficient,control_effect_coefficient,avg_treated_effect_weight,avg_control_effect_weight,importance_type
anxiety_flag,0.0021563147655779906,0.00020115245368670454,0.7566666666666667,-0.0004800481731384942,-0.005453367120074285,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_shared_standardized_effect_contribution
program_Complex_CM,0.0018404165536697055,6.875023086895804e-05,0.21333333333333335,0.0007492836726400145,0.004489243209494992,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_shared_standardized_effect_contribution
percolator_clinical_score,0.0016451389623159923,0.000174543609710977,0.44333333333333336,-9.053686315930366e-05,0.005489482234671386,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_shared_standardized_effect_contribution
pcp_visits_last_6m,0.0016094003286590299,-0.0003814497160904424,0.5333333333333333,0.0001324939479459091,-0.004959682315348754,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_shared_standardized_effect_contribution
admits_last_6m,0.0016092383670816412,0.00033208774473281335,0.29333333333333333,-0.0011066934949831191,0.006116500292645104,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_shared_standardized_effect_contribution
ed_visits_last_6m,0.0015771877405595768,0.0004937800527962808,0.5533333333333333,-0.0007516508726808794,0.004965831607101436,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_shared_standardized_effect_contribution
county_County_E,0.0015644165655980835,-0.0001251411810662454,0.8066666666666666,-0.0008139509619427545,-0.003647308741998368,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_shared_standardized_effect_contribution
program_CM,0.0015241180614008567,3.3986785953177245e-05,0.4766666666666667,-0.00029879815213528876,-0.0033542115015680637,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_shared_standardized_effect_contribution
plan_type_Medicare,0.0014761312345545983,4.890218853578397e-05,0.7733333333333333,-0.0004863045939636887,-0.0036736565841073796,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_shared_standardized_effect_contribution
chf_flag,0.0013917266650557718,8.75741257599969e-05,0.15,-0.0008986788476988687,0.0059792575908476754,0.5974579674404996,0.4025420325595004,glmnet_xlearner_weighted_shared_standardized_effect_contribution
