uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,30,0.06955407415446752,0.2,0.5666666666666667,0.0564702838812065,0.08689400181547786
2,30,0.05020368100891019,0.03333333333333333,0.3,0.041901794007247244,0.07846145376366433
3,30,0.04468954159118237,0.06666666666666667,0.3,0.0370984665458569,0.07331825690009204
4,30,0.04111213225325745,0.0,0.23333333333333334,0.035368822715681765,0.07165863975761803
5,30,0.03738643399892441,0.03333333333333333,0.4,0.0362058883779848,0.07256292676304868
6,30,0.03478723267152138,0.06666666666666667,0.4666666666666667,0.03534531272246104,0.0712607063823754
7,30,0.032098035257527115,0.06666666666666667,0.5,0.03825110743367395,0.07180043600428289
8,30,0.0284823566335481,0.03333333333333333,0.26666666666666666,0.036444192615305925,0.07034884495926653
9,30,0.02386796273585249,0.1,0.4666666666666667,0.03932407688519081,0.07229988610062245
10,30,0.014959566916273748,0.0,0.43333333333333335,0.03662890156505505,0.06879435463924546
