risk_tier,benefit_group,members,risk_tier_members,pct_within_risk_tier,benefit_group_definition
Low,High benefit,3,51,0.058823529411764705,uplift_decile 1-2 (top 20%)
Low,Medium benefit,34,51,0.6666666666666666,uplift_decile 3-7 (middle 50%)
Low,Low benefit,14,51,0.27450980392156865,uplift_decile 8-10 (bottom 30%)
Medium,High benefit,25,207,0.12077294685990338,uplift_decile 1-2 (top 20%)
Medium,Medium benefit,109,207,0.5265700483091788,uplift_decile 3-7 (middle 50%)
Medium,Low benefit,73,207,0.3526570048309179,uplift_decile 8-10 (bottom 30%)
High,High benefit,32,42,0.7619047619047619,uplift_decile 1-2 (top 20%)
High,Medium benefit,7,42,0.16666666666666666,uplift_decile 3-7 (middle 50%)
High,Low benefit,3,42,0.07142857142857142,uplift_decile 8-10 (bottom 30%)
Very High,High benefit,0,0,,uplift_decile 1-2 (top 20%)
Very High,Medium benefit,0,0,,uplift_decile 3-7 (middle 50%)
Very High,Low benefit,0,0,,uplift_decile 8-10 (bottom 30%)
