targeting_approach,through_decile,population_fraction_targeted,n,cumulative_estimated_ed_visits_avoided,cumulative_gross_savings
Uplift score,1,0.1,30,4.525653294374067,5430.78395324888
Uplift score,2,0.2,60,7.338118951922119,8805.742742306542
Uplift score,3,0.3,90,9.396675247070375,11276.01029648445
Uplift score,4,0.4,120,10.939773915292587,13127.728698351104
Uplift score,5,0.5,150,12.144806522322119,14573.767826786543
Uplift score,6,0.6,180,12.922052473477315,15506.462968172778
Uplift score,7,0.7,210,13.251188499402446,15901.426199282934
Uplift score,8,0.8,240,13.104645743287145,15725.574891944574
Uplift score,9,0.9,270,12.274510360827284,14729.41243299274
Uplift score,10,1.0,300,9.307278363302967,11168.73403596356
Current risk score,1,0.1,30,1.6538281445090108,1984.593773410813
Current risk score,2,0.2,60,3.3468127171419857,4016.1752605703828
Current risk score,3,0.3,90,4.378313990030403,5253.976788036483
Current risk score,4,0.4,120,4.961031009267468,5953.237211120962
Current risk score,5,0.5,150,5.62410625381443,6748.9275045773165
Current risk score,6,0.6,180,6.469617289551491,7763.540747461789
Current risk score,7,0.7,210,7.360444671144464,8832.533605373357
Current risk score,8,0.8,240,8.300940650512807,9961.128780615369
Current risk score,9,0.9,270,8.803369898120788,10564.043877744945
Current risk score,10,1.0,300,9.307278363302967,11168.73403596356
