decile,uplift_marginal_gross_savings,risk_marginal_gross_savings,marginal_advantage
1,5430.78395324888,1984.593773410813,3446.190179838067
2,3374.958789057662,2031.5814871595699,1343.3773018980924
3,2470.267554177908,1237.8015274661007,1232.4660267118074
4,1851.718401866654,699.2604230844781,1152.4579787821758
5,1446.0391284354391,795.690293456355,650.3488349790841
6,932.6951413862353,1014.6132428844721,-81.91810149823687
7,394.9632311101559,1068.9928579115685,-674.0296268014126
8,-175.85130733836013,1128.5951752420115,-1304.4464825803716
9,-996.1624589518342,602.9150971295767,-1599.0775560814109
10,-3560.67839702918,604.6901582186147,-4165.368555247795
