targeting_approach,decile,marginal_gross_savings,cumulative_gross_savings
Uplift score,1,5430.78395324888,5430.78395324888
Uplift score,2,3374.958789057662,8805.742742306542
Uplift score,3,2470.267554177908,11276.01029648445
Uplift score,4,1851.718401866654,13127.728698351104
Uplift score,5,1446.0391284354391,14573.767826786543
Uplift score,6,932.6951413862353,15506.462968172778
Uplift score,7,394.9632311101559,15901.426199282934
Uplift score,8,-175.85130733836013,15725.574891944574
Uplift score,9,-996.1624589518342,14729.41243299274
Uplift score,10,-3560.67839702918,11168.73403596356
Current risk score,1,1984.593773410813,1984.593773410813
Current risk score,2,2031.5814871595699,4016.1752605703828
Current risk score,3,1237.8015274661007,5253.976788036483
Current risk score,4,699.2604230844781,5953.237211120962
Current risk score,5,795.690293456355,6748.9275045773165
Current risk score,6,1014.6132428844721,7763.540747461789
Current risk score,7,1068.9928579115685,8832.533605373357
Current risk score,8,1128.5951752420115,9961.128780615369
Current risk score,9,602.9150971295767,10564.043877744945
Current risk score,10,604.6901582186147,11168.73403596356
