feature,mean_abs_benefit_shap,mean_signed_benefit_shap,pct_positive_benefit_shap,importance_type
percolator_clinical_score,0.02072685460720737,0.001007321898166897,0.20333333333333334,xgboost_xlearner_weighted_treeshap
pcp_visits_last_6m,0.011989259353679204,-0.0032633876404788414,0.5,xgboost_xlearner_weighted_treeshap
age,0.011279240937887099,0.0010416392640190482,0.3566666666666667,xgboost_xlearner_weighted_treeshap
ed_visits_last_6m,0.010798285410474324,0.001138481667468208,0.5466666666666666,xgboost_xlearner_weighted_treeshap
percolator_utilization_score,0.010201933938365411,0.0035588056816703963,0.7533333333333333,xgboost_xlearner_weighted_treeshap
rx_count_last_6m,0.009515665421376758,-0.001045440529970567,0.49333333333333335,xgboost_xlearner_weighted_treeshap
county_County_E,0.008461850640258985,-0.000689880074963132,0.8066666666666666,xgboost_xlearner_weighted_treeshap
med_adherence_pdc,0.007886837606684348,-0.002201906747596104,0.31333333333333335,xgboost_xlearner_weighted_treeshap
current_risk_score,0.007403215649004258,0.002258087900988129,0.4266666666666667,xgboost_xlearner_weighted_treeshap
case_manager_name_CM_09,0.0072085025092149925,0.002281921417878264,0.9333333333333333,xgboost_xlearner_weighted_treeshap
program_Complex_CM,0.005487227506146328,-0.00045518045611310786,0.21333333333333335,xgboost_xlearner_weighted_treeshap
specialist_visits_last_6m,0.0051444417850230835,-0.001747171647120886,0.3233333333333333,xgboost_xlearner_weighted_treeshap
service_region_Central,0.004457068118077564,-0.0013616472847894753,0.7833333333333333,xgboost_xlearner_weighted_treeshap
percolator_sdoh_score,0.00422919480954736,-0.0002585100082795328,0.5333333333333333,xgboost_xlearner_weighted_treeshap
case_manager_name_CM_04,0.004182747801072113,0.001118416937968664,0.08,xgboost_xlearner_weighted_treeshap
total_cost_last_6m,0.004102133557130344,0.0017388029457553026,0.44333333333333336,xgboost_xlearner_weighted_treeshap
admits_last_6m,0.002839960241834502,0.0006339989360274876,0.29,xgboost_xlearner_weighted_treeshap
language_Other,0.0025195460766345022,3.3761983781459065e-05,0.9533333333333334,xgboost_xlearner_weighted_treeshap
observation_stays_last_6m,0.0024678588423606984,-0.00030609330247589043,0.08666666666666667,xgboost_xlearner_weighted_treeshap
copd_flag,0.002446158131876578,0.00040789405635574733,0.23666666666666666,xgboost_xlearner_weighted_treeshap
service_region_South,0.0024124753180953524,0.00024446619742638566,0.19,xgboost_xlearner_weighted_treeshap
service_region_West,0.0022298036938243494,0.0004496907790730879,0.8466666666666667,xgboost_xlearner_weighted_treeshap
dual_eligible,0.0017797559802051857,-0.00026050658186268957,0.69,xgboost_xlearner_weighted_treeshap
case_manager_name_CM_01,0.0017193386271578985,-0.00027717065821999183,0.9366666666666666,xgboost_xlearner_weighted_treeshap
program_CM,0.0017176100693125891,-0.00043316779562954953,0.4766666666666667,xgboost_xlearner_weighted_treeshap
food_insecurity_flag,0.0016552510525945294,0.0006300623611729688,0.8166666666666667,xgboost_xlearner_weighted_treeshap
anxiety_flag,0.0015930100172659315,0.00038374794016164513,0.7433333333333333,xgboost_xlearner_weighted_treeshap
behavioral_health_risk_flag,0.001533973220424601,-0.00021311379345791405,0.38333333333333336,xgboost_xlearner_weighted_treeshap
asthma_flag,0.0015268494248789392,-0.0004001351900145323,0.16666666666666666,xgboost_xlearner_weighted_treeshap
language_Spanish,0.0014071322229493777,-0.00019847026069316927,0.20666666666666667,xgboost_xlearner_weighted_treeshap
language_English,0.0013414459228939053,-0.00026282010486388936,0.24333333333333335,xgboost_xlearner_weighted_treeshap
opioid_flag,0.001287717515328071,-0.00046131922760906,0.83,xgboost_xlearner_weighted_treeshap
plan_type_Commercial,0.0012646550322160054,0.00044596773293980967,0.10333333333333333,xgboost_xlearner_weighted_treeshap
gender_Female,0.0012589290325865081,-1.8624079612908676e-05,0.46,xgboost_xlearner_weighted_treeshap
case_manager_name_CM_02,0.0011000762161215208,-0.00016266290801597312,0.9133333333333333,xgboost_xlearner_weighted_treeshap
housing_instability_flag,0.0010880512105096046,6.692194418737215e-05,0.7966666666666666,xgboost_xlearner_weighted_treeshap
county_County_A,0.0010479642672594654,-0.00024274652788266543,0.15333333333333332,xgboost_xlearner_weighted_treeshap
case_manager_name_CM_10,0.0009750124560598256,1.882629094470354e-05,0.93,xgboost_xlearner_weighted_treeshap
plan_type_Medicare,0.0009657287078022588,9.621472424598812e-05,0.7333333333333333,xgboost_xlearner_weighted_treeshap
client_contract_Contract_A,0.0009281508228748207,-4.704312531405327e-05,0.4666666666666667,xgboost_xlearner_weighted_treeshap
substance_use_flag,0.0009136012477566787,-6.455198246721896e-05,0.8366666666666667,xgboost_xlearner_weighted_treeshap
case_manager_name_CM_13,0.0009092120062171915,-8.912712493008684e-06,0.26666666666666666,xgboost_xlearner_weighted_treeshap
high_cost_drug_flag,0.000868397839623744,-0.00011855361631193037,0.84,xgboost_xlearner_weighted_treeshap
depression_flag,0.000795775368428939,-2.308034104245689e-05,0.30333333333333334,xgboost_xlearner_weighted_treeshap
