uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,30,0.15085510981246888,0.13333333333333333,0.5333333333333333,0.12121041,0.1427475
2,30,0.09374885525160173,0.03333333333333333,0.3333333333333333,0.1166127,0.13484755
3,30,0.06861854317160852,0.06666666666666667,0.36666666666666664,0.11332072,0.1170971
4,30,0.051436622274073744,0.03333333333333333,0.36666666666666664,0.11342133,0.10938585
5,30,0.040167753567651086,0.03333333333333333,0.3333333333333333,0.11303521,0.10906717
6,30,0.02590819837183984,0.06666666666666667,0.2,0.11327296,0.10751173
7,30,0.010971200864171015,0.03333333333333333,0.36666666666666664,0.115008034,0.10150025
8,30,-0.00488475853717668,0.06666666666666667,0.4,0.11724599,0.10411397
9,30,-0.027671179415328793,0.03333333333333333,0.6,0.11812484,0.101308055
10,30,-0.09890773325081051,0.1,0.43333333333333335,0.12264443,0.10936784
