risk_tier,benefit_group,members,risk_tier_members,pct_within_risk_tier,benefit_group_definition
Low,High benefit,4,51,0.0784313725490196,uplift_decile 1-2 (top 20%)
Low,Medium benefit,37,51,0.7254901960784313,uplift_decile 3-7 (middle 50%)
Low,Low benefit,10,51,0.19607843137254902,uplift_decile 8-10 (bottom 30%)
Medium,High benefit,35,207,0.16908212560386474,uplift_decile 1-2 (top 20%)
Medium,Medium benefit,104,207,0.5024154589371981,uplift_decile 3-7 (middle 50%)
Medium,Low benefit,68,207,0.3285024154589372,uplift_decile 8-10 (bottom 30%)
High,High benefit,21,42,0.5,uplift_decile 1-2 (top 20%)
High,Medium benefit,9,42,0.21428571428571427,uplift_decile 3-7 (middle 50%)
High,Low benefit,12,42,0.2857142857142857,uplift_decile 8-10 (bottom 30%)
Very High,High benefit,0,0,,uplift_decile 1-2 (top 20%)
Very High,Medium benefit,0,0,,uplift_decile 3-7 (middle 50%)
Very High,Low benefit,0,0,,uplift_decile 8-10 (bottom 30%)
