uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control,expected_ed_rate_reduction,expected_ed_visits_avoided,gross_savings,intervention_cost,net_savings,roi
1,30,0.15085510981246888,0.13333333333333333,0.5333333333333333,0.12121041,0.1427475,0.15085510981246888,4.525653294374067,5430.78395324888,7500,-2069.2160467511203,-0.2758954729001494
2,30,0.09374885525160173,0.03333333333333333,0.3333333333333333,0.1166127,0.13484755,0.09374885525160173,2.812465657548052,3374.958789057662,7500,-4125.041210942338,-0.5500054947923118
3,30,0.06861854317160852,0.06666666666666667,0.36666666666666664,0.11332072,0.1170971,0.06861854317160852,2.058556295148256,2470.267554177907,7500,-5029.732445822093,-0.670630992776279
4,30,0.051436622274073744,0.03333333333333333,0.36666666666666664,0.11342133,0.10938585,0.051436622274073744,1.5430986682222123,1851.7184018666549,7500,-5648.281598133345,-0.753104213084446
5,30,0.040167753567651086,0.03333333333333333,0.3333333333333333,0.11303521,0.10906717,0.040167753567651086,1.2050326070295325,1446.0391284354391,7500,-6053.960871564561,-0.8071947828752748
6,30,0.02590819837183984,0.06666666666666667,0.2,0.11327296,0.10751173,0.02590819837183984,0.7772459511551952,932.6951413862342,7500,-6567.304858613766,-0.8756406478151687
7,30,0.010971200864171015,0.03333333333333333,0.36666666666666664,0.115008034,0.10150025,0.010971200864171015,0.3291360259251304,394.96323111015647,7500,-7105.036768889843,-0.9473382358519791
8,30,-0.00488475853717668,0.06666666666666667,0.4,0.11724599,0.10411397,-0.00488475853717668,-0.1465427561153004,-175.8513073383605,7500,-7675.85130733836,-1.023446840978448
9,30,-0.027671179415328793,0.03333333333333333,0.6,0.11812484,0.101308055,-0.027671179415328793,-0.8301353824598637,-996.1624589518365,7500,-8496.162458951836,-1.1328216611935782
10,30,-0.09890773325081051,0.1,0.43333333333333335,0.12264443,0.10936784,-0.09890773325081051,-2.967231997524315,-3560.678397029178,7500,-11060.678397029178,-1.4747571196038904
