model,group,pred_risk_decile,n,avg_predicted_ed_rate,observed_ed_rate,calibration_error,abs_calibration_error
XGBoost,Treated,1,12,0.1387124,0.16666666666666666,0.027954260508219392,0.027954260508219392
XGBoost,Treated,2,12,0.1262139,0.08333333333333333,-0.04288055996100108,0.04288055996100108
XGBoost,Treated,3,12,0.1229546,0.08333333333333333,-0.03962126622597377,0.03962126622597377
XGBoost,Treated,4,12,0.11859748,0.0,-0.11859747767448425,0.11859747767448425
XGBoost,Treated,5,11,0.11336878,0.09090909090909091,-0.02245968851176175,0.02245968851176175
XGBoost,Treated,6,12,0.110601164,0.0,-0.11060116440057755,0.11060116440057755
XGBoost,Treated,7,12,0.10963398,0.0,-0.10963398218154907,0.10963398218154907
XGBoost,Treated,8,12,0.10963398,0.0,-0.10963398218154907,0.10963398218154907
XGBoost,Treated,9,12,0.10963398,0.0,-0.10963398218154907,0.10963398218154907
XGBoost,Treated,10,11,0.10963399,0.0,-0.10963398963212967,0.10963398963212967
XGBoost,Control,1,19,0.17024274,0.10526315789473684,-0.06497958380925029,0.06497958380925029
XGBoost,Control,2,18,0.14596564,0.05555555555555555,-0.09041008022096422,0.09041008022096422
XGBoost,Control,3,18,0.12048866,0.05555555555555555,-0.06493310299184588,0.06493310299184588
XGBoost,Control,4,18,0.112806745,0.16666666666666666,0.053859921793142945,0.053859921793142945
XGBoost,Control,5,18,0.10720186,0.05555555555555555,-0.05164630379941729,0.05164630379941729
XGBoost,Control,6,19,0.1033121,0.15789473684210525,0.05458263935227142,0.05458263935227142
XGBoost,Control,7,18,0.10041836,0.0,-0.10041835904121399,0.10041835904121399
XGBoost,Control,8,18,0.0964216,0.0,-0.09642159938812256,0.09642159938812256
XGBoost,Control,9,18,0.091584444,0.05555555555555555,-0.036028888490464955,0.036028888490464955
XGBoost,Control,10,18,0.08655768,0.05555555555555555,-0.03100212332275179,0.03100212332275179
