feature,mean_abs_benefit_shap,mean_signed_benefit_shap,pct_positive_benefit_shap,importance_type
percolator_utilization_score,0.13564108,0.021977918,0.5166666666666667,xgboost_raw_margin_shap_difference
current_risk_score,0.07575722,0.021155244,0.7066666666666667,xgboost_raw_margin_shap_difference
diabetes_flag,0.029432885,0.0014839973,0.6833333333333333,xgboost_raw_margin_shap_difference
age,0.018609496,0.0032221917,0.17333333333333334,xgboost_raw_margin_shap_difference
county_County_A,0.015389485,-0.0030802458,0.18666666666666668,xgboost_raw_margin_shap_difference
percolator_sdoh_score,0.014861127,0.00088573765,0.6466666666666666,xgboost_raw_margin_shap_difference
client_contract_Contract_B,0.009817369,0.00048321814,0.66,xgboost_raw_margin_shap_difference
copd_flag,0.009522205,-0.0010798558,0.15333333333333332,xgboost_raw_margin_shap_difference
anxiety_flag,0.0094808,0.00033559138,0.7233333333333334,xgboost_raw_margin_shap_difference
percolator_clinical_score,0.00853768,7.070142e-05,0.51,xgboost_raw_margin_shap_difference
med_adherence_pdc,0.007300524,0.0007460757,0.5933333333333334,xgboost_raw_margin_shap_difference
admits_last_6m,0.0072332253,0.0005026614,0.27666666666666667,xgboost_raw_margin_shap_difference
rx_count_last_6m,0.0072118575,0.0022464432,0.25,xgboost_raw_margin_shap_difference
depression_flag,0.0070578116,0.00088275154,0.30666666666666664,xgboost_raw_margin_shap_difference
utilities_insecurity_flag,0.0069546215,0.0016133619,0.8266666666666667,xgboost_raw_margin_shap_difference
gender_Female,0.0044021546,1.245988e-05,0.43666666666666665,xgboost_raw_margin_shap_difference
case_manager_name_CM_14,0.004170055,0.0010260155,0.07666666666666666,xgboost_raw_margin_shap_difference
program_CM,0.003533305,-0.00037412724,0.44,xgboost_raw_margin_shap_difference
behavioral_health_risk_flag,0.0027933046,-0.00011693454,0.55,xgboost_raw_margin_shap_difference
case_manager_name_CM_06,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
case_manager_name_CM_07,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
case_manager_name_CM_08,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
case_manager_name_CM_09,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
risk_tier_Low,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
case_manager_name_CM_11,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
case_manager_name_CM_12,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
case_manager_name_CM_13,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
case_manager_name_CM_15,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
risk_tier_Medium,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
case_manager_name_CM_10,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
plan_type_Medicare,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
risk_tier_High,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
plan_type_Medicaid,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
language_Spanish,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
gender_Male,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
language_Other,0.0,0.0,0.0,xgboost_raw_margin_shap_difference
