model,through_uplift_decile,population_fraction_targeted,n,treated_n,control_n,treated_events,control_events,avg_predicted_benefit,observed_control_minus_treated_gap,gap_ci_lower_95,gap_ci_upper_95,predicted_benefit_within_gap_ci_95
XGBoost,1,0.1,30,10,20,2,1,0.082797505,-0.15000000000000002,-0.5009560821755322,0.17944904452651433,True
XGBoost,2,0.2,60,22,38,3,1,0.077712536,-0.11004784688995214,-0.32868928585463253,0.08745872568779811,True
XGBoost,3,0.3,90,35,55,3,2,0.07504796,-0.04935064935064935,-0.21376319985550146,0.09365227269316555,True
XGBoost,4,0.4,120,43,77,3,3,0.073130466,-0.030806402899426155,-0.1727519202846166,0.08438823009833765,True
XGBoost,5,0.5,150,57,93,3,3,0.07159285,-0.020373514431239387,-0.13266489221708788,0.0725335302661441,True
XGBoost,6,0.6,180,68,112,4,5,0.06989261,-0.014180672268907561,-0.12249962739111259,0.07715820406969826,True
XGBoost,7,0.7,210,78,132,4,8,0.06796072,0.009324009324009327,-0.09353988193565432,0.09491545577157343,True
XGBoost,8,0.8,240,94,146,5,10,0.06578171,0.015301661323229375,-0.08091003618404974,0.09855302762246537,True
XGBoost,9,0.9,270,106,164,5,12,0.063238055,0.02600092038656235,-0.06334969439592807,0.10321613909476772,True
XGBoost,10,1.0,300,122,178,6,13,0.05960811,0.02385337999631608,-0.05997706447388467,0.09819981908555045,True
