uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,30,0.0827975,0.1,0.3333333333333333,0.06753923,0.15033673
2,30,0.072627574,0.03333333333333333,0.4,0.06363632,0.13626389
3,30,0.06971881,0.03333333333333333,0.43333333333333335,0.06535614,0.13507494
4,30,0.06737799,0.03333333333333333,0.26666666666666666,0.06166388,0.12904187
5,30,0.06544241,0.0,0.4666666666666667,0.06406361,0.12950602
6,30,0.06139136,0.1,0.36666666666666664,0.06954061,0.13093197
7,30,0.056369375,0.1,0.3333333333333333,0.076051064,0.13242044
8,30,0.05052868,0.1,0.5333333333333333,0.09384704,0.14437573
9,30,0.042888757,0.06666666666666667,0.4,0.09692722,0.13981599
10,30,0.026938695,0.06666666666666667,0.5333333333333333,0.1090975,0.1360362
