uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control,expected_ed_rate_reduction,expected_ed_visits_avoided,gross_savings,intervention_cost,net_savings,roi
1,30,0.04825096,0.1,0.3,0.12007386,0.16832481,0.04825096,1.447528749704361,1737.0344996452332,7500,-5762.965500354767,-0.7683954000473022
2,30,0.027164292,0.13333333333333333,0.5333333333333333,0.11901585,0.14618015,0.027164292,0.8149287477135658,977.914497256279,7500,-6522.085502743721,-0.8696114003658295
3,30,0.008735599,0.0,0.4,0.11418143,0.12291703,0.008735599,0.2620679698884487,314.48156386613846,7500,-7185.5184361338615,-0.9580691248178482
4,30,-0.0026395405,0.03333333333333333,0.26666666666666666,0.11346149,0.11082195,-0.0026395405,-0.0791862141340971,-95.02345696091652,7500,-7595.0234569609165,-1.0126697942614555
5,30,-0.0070403647,0.1,0.3333333333333333,0.112870365,0.10583,-0.0070403647,-0.2112109400331974,-253.45312803983688,7500,-7753.453128039837,-1.0337937504053116
6,30,-0.010455764,0.06666666666666667,0.5333333333333333,0.11280868,0.102352925,-0.010455764,-0.3136729169636965,-376.4075003564358,7500,-7876.407500356436,-1.0501876667141914
7,30,-0.014240378,0.06666666666666667,0.4666666666666667,0.11440995,0.10016958,-0.014240378,-0.4272113274782896,-512.6535929739475,7500,-8012.6535929739475,-1.0683538123965264
8,30,-0.018811325,0.0,0.3333333333333333,0.113317795,0.09450647,-0.018811325,-0.5643397383391857,-677.2076860070229,7500,-8177.207686007023,-1.0902943581342697
9,30,-0.024433482,0.0,0.3,0.11871432,0.09428084,-0.024433482,-0.7330044731497765,-879.6053677797318,7500,-8379.605367779732,-1.1172807157039641
10,30,-0.033479597,0.1,0.4666666666666667,0.12504289,0.09156328,-0.033479597,-1.0043879225850105,-1205.2655071020126,7500,-8705.265507102013,-1.1607020676136017
